text,sentiment,person 1,person 2
Probably.,1,1,1
"Mr. Weasley was probably there when he was attacked, too.",0,0,0
That must be what the Order's guarding!.,1,1,1
"That corridor, I've been dreaming about it for months...it leads to the Department of Mysteries, I'm sure of it..",1,2,1
I have to finish what Dumbledore started.,1,2,1
Iâ€™m not sure where that will lead me... but Iâ€™ll let you and Ron konw where I am -- when I can.,1,0,1
Dumbledore started.,1,1,1
And... I have to do it alone.).,1,0,1
"It's just, you see, sir, I couldn't help noticing certain things.",1,1,0
Certain similarities.,1,1,1
Between Tom Riddle and me..,1,1,1
"Itâ€™s not a candle I can blow out, Hermione.",1,2,1
"It always burns, even if itâ€™s just a flicker.",1,0,1
Can you understand that?.,1,1,1
"He knows where it is, You-Know-",1,1,1
Who.,1,1,1
Heâ€™ll have it by the end of the night.,1,1,1
Heâ€™s found the Elder Wand..,1,1,1
That was no stranger Hagrid met in the village.,1,1,1
"It was Snape, which means he knows how to get past Fluffy..",2,2,1
"A house elf shows up in my bedroom, we can't get through the barrier to Platform Nine and Three Quarters, we almost get killed by a tree... clearly someone doesn't want me here this year..",0,0,0
It was Draco who disarmed Dumbledore that night on the Astronomy Tower.,1,0,1
"From that moment on, the wand answered to him.",1,1,1
Until the other night... ... when I disarmed Draco..,1,0,1
Sirius...yeah... Alohomora!,1,1,1
"Whatever's in there, the Ministry sure doesn't want anyone getting to it..",0,0,0
Sirius gave it to me.,1,2,1
He had a matching piece.,1,1,1
"He said if I ever needed him, all I had to do was look into it..",1,2,2
"If Dumbledoreâ€™s traveling places, itâ€™s news to the Ministry.",1,1,1
But get this: that night at Borgin & Burkes?,1,1,1
It seems Draco was looking at a Vanishing Cabinet..,1,1,1
He's in trouble.,1,0,0
"Up at school, there've been attacks.",1,0,0
They think it's Hagrid.,1,1,1
They think he's opened the Chamber of Secrets.,1,1,1
Like before..,1,1,1
Loads of Defense Against the Dark Arts equipment.,1,0,1
Hopefully we'll be able to get to all of it before the end of term..,1,2,1
You-Know-Who.,1,1,1
He knows we broke into Gringotts.,1,1,1
He knows what we took.,1,1,1
He knows weâ€™re hunting Horcruxes..,1,1,1
You-Know-Who wants something Gregorovitch once had -- dunno what.,1,1,1
But heâ€™s desperate to have it.,1,1,0
Itâ€™s as if his life depends on it..,1,2,1
"That's a brilliant theory, Hermione.",2,2,2
With just one tiny little flaw.,0,0,1
There's nothing written in this diary..,0,0,0
"Sorry, sir.",1,1,0
I shouldâ€™ve announced myself.,1,1,1
Cleared my throat.,1,1,1
Coughed.,1,1,1
You probably feared I was Madam Sprout..,0,0,1
"Honestly, Hermione, when have any of our plans actually worked?",1,0,0
"We plan, we get there and all hell breaks loose..",0,0,0
"""Your father left this in my possession before he died.",0,0,1
It is time it was returned to you.,1,1,1
"Use it well."".",1,2,1
"It's not true, sir!",0,0,0
I swear!,2,1,1
I never touched Mrs. Norris --,1,1,1
And I don't even know what a Squib is..,0,1,1
Ron!,1,1,1
You've really got to see this!,2,1,1
Ron!,1,1,1
You've got to see this!,2,1,1
{pulls back covers.,1,1,1
Ron wakes up.},1,1,1
"Ron, Ron, come on.",1,1,1
Get out of bed!.,0,0,0
No thank you.,0,1,1
Minister...,1,1,1
I don't understand.,0,0,0
I broke the law.,1,0,0
Underage wizards aren't allowed to use magic at home --.,0,0,0
"But it means something to him too, Hermione.",1,0,1
You-Know-Who nearly died there.,1,0,0
Wouldnâ€™t that be just the kind of place heâ€™d hide a Horcrux?.,0,1,1
Neville.,1,1,1
"No offense, but I really don't care about plants.",0,0,0
Now if there's a Tibetan turnip that will allow me to breathe underwater for an hour then great..,2,0,1
"Yes, well, we donâ€™t exactly see eye-to-eye, sir.",1,0,1
"What I mean to say is, heâ€™s not like you.",1,0,1
He might... misunderstand..,1,0,1
"I just thought, you know, since neither one of us can take who weâ€™d really like... maybe weâ€™d go together.",1,0,1
As friends..,1,1,2
Weâ€™ve been hunting Horcruxes.,1,1,1
We think the last oneâ€™s in the school.,1,1,1
But weâ€™ll need your help getting in..,1,1,1
I need to learn how to fight them.,1,2,1
"You could teach me, Professor.",1,1,1
You made that Dementor on the train go away....,1,1,1
"Well, you see, the other day I was in the Restricted Section -- in the library -- and I stumbled upon something rather odd while reading.",1,1,1
Something about a bit of rare magic....,2,1,1
{Hands cookie to Vernon},1,1,1
Because there's no post on Sunday?,1,1,1
"Ah, right you are, Harry.",1,1,1
No post on Sunday.,1,1,1
Hah!,1,1,1
No blasted letters today.,1,1,1
"No, sir.",1,1,1
{Harry sees a shadow outside the window.,1,1,1
"Outside, millions of owls are perched.}",0,0,0
"No sir, not one blasted, miserable---.",0,1,0
I see.,1,1,1
"Not to be rude or anything, but this isn't a great time for me to have a house-elf in my bedroom..",0,0,1
Hermione.,1,1,1
I appreciate the thought -- honestly.,1,2,2
But given that we were almost killed by a couple of Death Eaters a few minutes ago....,0,0,0
"Just the general behavior, sir.",1,1,1
The sneaking around.,1,1,1
The jumping when you saw me.,1,1,1
"By the way, those Tentacula leaves -- theyâ€™re quite valuable, arenâ€™t they?.",0,0,1
"It would seem that, despite your exhaustive defensive strategies, you have a bit of a security problem, Headmaster..",0,0,0
She was terrified when she thought weâ€™d been in there.,0,0,0
She kept asking you what else weâ€™d taken.,1,1,1
Iâ€™d bet anything thereâ€™s a Horcrux there.,1,1,1
"If we find it, we can kill it.",1,0,0
"And if we kill it, weâ€™re one step closer to killing him..",1,0,0
"When we free him, I'll never have to go back to the Dursley's.",1,0,1
I'm going to tell him I'd like to live someplace in the country.,1,1,1
"I think he'd like that, after all those years in Azkaban.",1,1,1
We don't need a big place and I can help him....,1,1,1
I donâ€™t care about a bloody wedding -- no matter whose it is.,1,0,0
I have to start searching for the Horcruxes.,1,0,1
Itâ€™s the only chance we have to beat him.,1,2,0
And the longer we wait the stronger he gets..,1,0,0
Thereâ€™s something wrong with him.,1,1,0
"In the past, I could always follow his thoughts.",1,1,1
Now everything feels disconnected..,0,0,0
Don't worry.,1,2,2
My Dad will come...,1,1,1
Right there... you'll see... he'll come... any minute... he'll conjure the Patronus.,1,1,1
"Well, you haven't finished it this time.",0,0,0
