character,text,gender
CLARK," Atlantis, what's the problem?",male
CLARK, What the hell was that?,male
CLARK, The press is going to want answers. What are we going to say?,male
CLARK," A big asteroid. E.T.A., eighteen days. A lot bigger than the five mile one that obliterated the dinosaurs.",male
CLARK," Three things the Russians make well, guys - vodka, gymnasts and rockets. Don't count 'em out.",male
CLARK," United States astronauts train for eighteen months. You have nine days. Officers Sharp, Truman, Watts and Weston are your military instructors and the only pilots to have flown the spacecraft. Each is a combat decorated officer and among the finest men and women we have in the service. Pay attention to them.",male
CLARK, You will vomit.  Your eyes will be sucked into the back of your heads. You'll be so tired you can't eat but that won't matter 'cause you'll be so sore you can't take a dump. By the way...good morning.,male
CLARK, We've got to warn.,male
CLARK," Lookin' real good, Freedom.",male
CLARK," Freedom, Independence. You're looking good. Prepare to start docking procedures at the MIR.",male
CLARK," How we doin', Freedom, over?",male
CLARK," You're on your own, Willie. You've got to raise your velocity 17 thousand miles an hour or you won't catch the target, over.",male
CLARK," We'll pick 'em up again in sixteen minutes, Danny.",male
CLARK, They're hittin' the big G's right about...now.,male
CLARK," Freedom, come in, over. Independence, come in, over.",male
CLARK," We'll take you in, guys.",male
GOLDEN," We got the top scientific minds in the world working on this. Try ""whacking"" the thing.",male
GOLDEN, Nothing. Not until we know what happened.,male
GOLDEN," I am secure. Go ahead, General.",male
GOLDEN, When?,male
GOLDEN," Tell the president it's called ""budget cuts."" We don't have enough telescopes to track the skies.",male
GOLDEN, I don't know. We'll figure it out.,male
GOLDEN, Fly a team up to New York. Contact every Space Watch facility in the,male
GOLDEN, Did we find who made the phone call last night?,male
GOLDEN," Copies to the Pentagon, Colorado Space Command, and the Washington",male
GOLDEN," Okay guys, one of the worst days in N.A..S.A history just got worse. Ten million to one. A rogue comet came from deep space and collided with an asteroid. Some kids actually got a picture of the collision event and told no one. The stuff that hit this morning was the collision's forward- thrown matter, mere pebbles from what's about to come. Walter?",male
GOLDEN, The size of Texas.,male
GOLDEN, How many of you are as scared as I am?,male
GOLDEN," One giant leap for Mankind. Everyone remember that? This is what we are going to do. We're going to fly to that asteroid with a nuclear device, implant it and get off before it blows. Quincy?",male
GOLDEN, You're all looking at us like we're crazy. We're not.,male
GOLDEN," What I'm going to tell you is a breach of national security and could land me in jail, but in eighteen days there arnt' gonna be any jails, so shuttle. Gentlemen, I'm talking about the X-71.",male
GOLDEN," Time is our enemy. This is like the race to the Moon, guys - what this Agency was founded on.",male
GOLDEN," Quincy's been working on excavating the ice from the Moon - he's gonna reorient his thinking. Right, Quince?",male
GOLDEN," I don't care who he is, what he's doing.",male
GOLDEN," It's the late 20th century, I run the U.S. Space Program, and I'm praying to God the Russians are better at this than we are",male
GOLDEN," So, where's our oil driller?",male
GOLDEN," Mister Stamper.. Dan Golden, I'm Director of --",male
GOLDEN, That was a long time ago. I run this place now. And we've got a serious problem on our hands that Quincy here thinks you might be able to help us out with --,male
GOLDEN, I wonder if we might speak alone?,male
GOLDEN, Okay.,male
GOLDEN," Move it along, Quincy.",male
GOLDEN," Well, Mister Stamper, we need you to drill a hole. It's in a difficult place.",male
GOLDEN," Not...this place. This is really out there. Space, Mister Stamper.",male
GOLDEN, We're manning a mission to that asteroid to plant a nuclear device in it's core. To do that we need to drill an eight hundred foot hole.,male
GOLDEN," All we want is your advice in perfecting our drilling arm, any help you can provide. We'll pay your usual consultancy, of course.",male
GOLDEN, Ten million.,male
GOLDEN," Gentlemen, gentlemen, wait a second. The crux of the matter",male
GOLDEN, Or three,male
GOLDEN, You won't need one. You're not going up.,male
GOLDEN, Harry. Let's figure this out.,male
GOLDEN," The deal was for you, not others.",male
GOLDEN, It's out of the question.,male
GOLDEN, What kind of men are these?,male
GOLDEN," This is getting us nowhere. Can they fly, or not?",male
GOLDEN," We need to drill. Do you know how to drill, colonel? Neither do I. They're going up.",male
GOLDEN," General, it's our job to get them ready to go into space. They're there to do the drilling. And Colonel Sharp, we all have families.",male
GOLDEN, This is like putting the Hell's Angels in space.,male
GOLDEN, Projected impact tracking. I need stats!,male
GOLDEN, Warn who? The whole South Pacific?,male
GOLDEN," Stamper, answer me one question - have you ever let anyone down?",male
GOLDEN," ....and the two pieces will slide right past us. You cannot shatter it. Getting hit with 20 smaller asteroids is as bad as one big one. You have to drill, plant the nuke, lift off, and detonate -- all before the asteroid reaches this position. You have eight hours. Remember it. You must detonate by this point or, the two halves will hit us.",male
GOLDEN,,male
GOLDEN," These guys are fast. Harry, interior gauge check.",male
GOLDEN, A.J.'s off the team. We need a list of names from you to fill the slot.,male
GOLDEN, We don't want independent thinkers. And we don't need heroes. We need a team.,male
GOLDEN, One shot. Pull him in line or send him home.,male
GOLDEN," In the book of Revalations, the Bible speaks of a final day on Earth, when all mankind shall perish, shall cease to exist. This day is known as Armageddon.",male
GOLDEN," When you meet the Russian, you might want to go easy on the guy.",male
GOLDEN," I work for the President of the United States. But I think it's my duty as a scientist to tell the world what is happening. Three, days ago a manned space mission was sent to intercept an asteroid which has entered the Earth's orbit. This is a difficult mission. In all frankness, it is the most difficult mission anyone has ever flown. A little over fifty years ago we sent our Armed Forces half-way around the world to save the world from an evil empire that threatened mass extinction. The men and women of this nation united, answered the calland preserved our freedom. Once again we face a threat to our way of life. And once again we look to our military to preserve our future. The men and women selected to lead this mission are America's finest and most decorated career officers in the military. Our hopes and prayers are with them. Thank you.",male
GOLDEN, We'll do your best.,male
GOLDEN," They'll be pullin' nine and half G's for eleven minutes, General.",male
GOLDEN, If they're still alive.,male
GOLDEN," Come on, Willie, you can do this",male
GOLDEN," Willie? Come in, over. Willie, can you hear me...?",male
GOLDEN, Freedom. come in.,male
GOLDEN, What's the problem?,male
GOLDEN, How much deeper?,male
GOLDEN," Harry, your fault line's fifty yards off the starboard side.",male
GOLDEN," Yeah, Harry. What's your situation?",male
GOLDEN, You're forty minutes in. You should be down 150 feet. How far are you?,male
GOLDEN," ""Don't tell me what you can't do, tell me what you can."" Remember that, Stamper? Go faster.",male
GOLDEN, How?,male
GOLDEN, What is going on up there?,male
GOLDEN, After 15 minutes? What do you expect?,male
GOLDEN," A surface detonation isn't going to do it, General. My scientists have already told you that. It must be detonated inside the asteroid. The alternative is that the Earth will be bombarded by smaller matter which will be just as catastrophic.",male
GOLDEN, The asteroid's surface is heating up.,male
GOLDEN, It means they may not be able to work on the surface for much longer. The temperatures will be unbearable.,male
GOLDEN, Say nothing.,male
GOLDEN, Now just get the thing in the hole.,male
GOLDEN," Harry, c'mon, we got thirty minutes.",male
GOLDEN, Is he alright?,male
GOLDEN, The situation: the hole is drilled but the remote detonator is not functional. One of the crew is going to stay behind and,male
GOLDEN, Don't stay for this.,male
GOLDEN," Stamper, you gave me your word. You have five seconds. PRESS THE BUTTON!",male
GOLDEN," Where are they, Flip? Give me some angles, give me some directions, give me speeds...",male
GOLDEN, I just want to tell you I'm proud to know the daughter of the man who just saved the world.,male
JIMBO, When are we going to let N.A.S.A in on what we've found?,male
JIMBO," Yeah, but this is their sandbox were playing in.",male
JIMBO," Hell with them, I'm going on Howard Stern",male
JIMBO, Call N.A.S.A,male
JIMBO," I have the number. I got it from ""Mega monster.""",male
JIMBO," He's some super-hacker, I went to high school with. Guy's totally wired into every encrypted government installation.",male
JIMBO, They never proved he shut down the power in those seven states.,male
JIMBO, I got mission control,male
JIMBO," Uhh hi, I'm an astronomer in Kentucky, and I was wondering if you guys had seen some strange activity in the southern middle quadrant of the asteroid belt between Antares Major and Epsilom Scorpio",male
JIMBO, My name? Uhh,male
JIMBO, Lexington... Massachusetts.,male
JIMBO," So, that N.A.S.A. guy wasn't kiddin; about bein' arrested and",male
JIMBO," Yes, absolutely, yes sir.",male
JIMBO, Him.,male
JIMBO," I was calling the Houston area code, which is 713. I was calling 712, which is outside Spokane, Washington, where my Aunt Zelda",male
JIMBO, Our math must've been off! we thought it was gonna pass the Earth!,male
JIMBO," Hey, zipperheads! Ever watch ""L.A. Law?"" Right to remain silent, right to an attorney? My brother's a badass lawyer - he's gonna sue your asses to Mars. I was in pre-law for a month - you can't put somebody in jail for makin' a phone call!!!",male
JIMBO," Yeah, that's why they were so hot for the co-ordinates. Do you think it's an asteroid? Or comet?",male
JIMBO, If it's over then why aren't you lettin' us out of this goddamn cell?,male
JIMBO," Don't walk away, I want to talk to my lawyer. You hear me?",male
JIMBO, He flunked the bar three times.,male
JIMBO, This definitely doesn't look like a glamorous job.,male
THEO," We don't even know what we have yet. Comet, asteroid - it could be anything up there. And don't be so eager to red flag N.A.S.A. They don't call us when they discover anything.",male
THEO," This is our discovery. We're going to hold a press conference. We're going to be famous. SPACEWATCH'll name this thing after us. Job offers are going to fly in from all the big companies. J.P.L., that think tank up at M.I.T., hell even N.A.S.A. 'll be chasing us.",male
THEO, How?,male
THEO," And say what? ""Hi, we're a couple astronomer geeks who found something really bitchin; floatin' in space."" You can't just call N.A.S.A.  It's like calling the White House. Besides, you'll never get the number.",male
THEO, He's also an ex-con.,male
THEO, Hang up! Hang up now!,male
THEO, Lexington.. uhh...Massachusettes. Idiot. I told you not to call them.,male
THEO, Him.,male
THEO, It's our discovery. No way.,male
THEO, Something they're not telling the public.,male
THEO, I dunno - but I bet it's a whopper.,male
THEO, Southern Hemisphere?,male
THEO, I'm hungry! When're we gonna eat?,male
FLIP," Yeah, Mission Control.",male
FLIP, Who is this?,male
FLIP, This is a restricted line. How did you get it? Where are you?,male
FLIP, Can you tell me the exact co- ordinates..?,male
FLIP, The F.B.I.'s on it.,male
FLIP, Look it that sucker. They got a nuke up there in sixteen hours?,male
FLIP, Yeah. That Russian monkey in 1957.,male
FLIP, Engine ignition. Starting diagnostics.,male
FLIP," Nine hundred and eighty...Nine ninety...they're into the fault, they're doing it.",male
FLIP, The new courses are miss us!,male
TEMPLE, Get me Dan Goldman on the secure phone.,male
TEMPLE," I'm going to brief the President. What's going on here, Dan? Why didn't we have warning?",male
TEMPLE, Is it over?,male
TEMPLE," Dan, we're all here. Tell us what we're up against.",male
TEMPLE," Well, that's really positive, Dan. The President just got off the phone with the Russians. They're just about to launch a new Mars Probe on the biggest rocket in the world.",male
TEMPLE, They're going to pull off the probe and replace it with four Atlas Class IV nuclear warheads. Enough punch in their opinion - not to break it up - but to slow it down enough to miss Earth's orbit.,male
TEMPLE, They're going to move it up.,male
TEMPLE, Sixteen hours from now.,male
TEMPLE," Thank you for bringing up the impossible, Dan.",male
TEMPLE," You've watched the news the last 24 hours? You heard about the meteor shower? What you don't know is that an asteroid is on a collision course with Earth. If it hits us, Earth as we know it will be over.",male
TEMPLE," Of course, completely in order. What is the price?",male
TEMPLE," Mr. Stamper, this mission is to preserve the future of",male
TEMPLE, Done.,male
TEMPLE," I'll call the I.R.S., try to uhm, explain the situation.",male
TEMPLE," You want us to buy that, too?",male
TEMPLE, Rock what? Is that a dog?,male
TEMPLE," With my stars came the power to be blunt.  These drillers are not trained for this, Dan.",male
TEMPLE," If they can't drill this hole, my men are going to take over.",male
TEMPLE, Anyone done that before?,male
TEMPLE, This is an exercise in futility.,male
TEMPLE," Your drillers aren't doing the job, Dan.",male
TEMPLE," Golden, we are preparing for surface detonation.",male
