,character,text,number,types
0,MIA," ...and I swear to God, she was wrecked. It was pure insanity.",1,female
1,MIA," Don’t worry, it is. I know sometimes it --",1,female
2,MIA, Shit.,1,female
3,MIA, It’s -- five past...,1,female
4,MIA, Ok.,1,female
5,MIA, I wanted to give you an entrance.,1,female
6,MIA, Eh...,1,female
7,MIA, I don’t know who Jen and Rachel are.,1,female
8,MIA, I don’t know if they were there.,1,female
9,MIA, Can’t. Working.,1,female
10,MIA, Yes?,1,female
11,MIA, It’ll be a bunch of social climbers packed into one of those glass houses.,1,female
12,MIA," I just wanted to say -- I saw your playing, and I --",1,female
13,MIA," No, Jamal. You be trippin’.",1,female
14,MIA, Congratulations. I have to grab a drink...,1,female
15,MIA, “I Ran”.,1,female
16,MIA, “Curt”?,1,female
17,MIA, Ok.,1,female
18,MIA, My God. Did you just call yourself “a serious musician”?,1,female
19,MIA, Can I borrow what you’re wearing?,1,female
20,MIA, Because I have an audition next week. I’m playing a serious fire-fighter.,1,female
21,MIA, Uh... The coffee shop on the Warner Brothers lot. That’s a classic.,1,female
22,MIA, He just told you what to do.,1,female
23,MIA, Mia.,1,female
24,MIA, George Michael!,1,female
25,MIA, Did you just get your keys?,1,female
26,MIA, Can you grab mine?,1,female
27,MIA, The Prius.,1,female
28,MIA, They are...n’t.,1,female
29,MIA, Strange that we keep running into each other.,1,female
30,MIA, I doubt it.,1,female
31,MIA, What?,1,female
32,MIA, Uh-huh.,1,female
33,MIA, Oh my God.,1,female
34,MIA, Agreed. I’ve seen better.,1,female
35,MIA, ...Ok...,1,female
36,MIA, No...,1,female
37,MIA, I have an audition. Remember?,1,female
38,MIA, But you said --,1,female
39,MIA, ...Hi. What are you doing here?,1,female
40,MIA, Uh-huh. How’d you get on the lot?,1,female
41,MIA, I’m off in ten.,1,female
42,MIA, That’s the window Ingrid Bergman and Humphrey Bogart looked out of in Casablanca.,1,female
43,MIA, Yeah. Greg.,1,female
44,MIA, We’ve been seeing each other for a few months.,1,female
45,MIA, Oh yeah?,1,female
46,MIA, A what?,1,female
47,MIA, We need to wait here.,1,female
48,MIA," Into...? Oh -- I -- my aunt was an actress. She was in this traveling theater company... And there was this little library across the street from my house when I was growing up. This was Boulder City, Nevada -- every house looked exactly the same. I was ten and already I needed to get out. And one day, my aunt flew into town, and she showed me the library’s old-movie section. We spent a whole day watching one after the other. Bringing Up Baby. Notorious. Casablanca. I never knew the world was so big.",1,female
49,MIA," I started putting on plays in my garage. I’d write the scripts and print up programs, and she’d give me props to use from wherever she’d just been -- New York, London, Paris. And then she’d jet off again and I wouldn’t hear from her for another year.",1,female
50,MIA, God no -- I didn’t invite anyone. That would have been terrifying.,1,female
51,MIA, Well it doesn’t need more actresses.,1,female
52,MIA," What do you mean, “just an actress”?",1,female
53,MIA, That is not what I said.,1,female
54,MIA, Last thing I wrote was a stand-up routine for an open-mic night. It was horrible.,1,female
55,MIA," Ok, I’ll stop auditioning and make history instead.",1,female
56,MIA, I hate jazz.,1,female
57,MIA, It means when I listen to it I don’t like it.,1,female
58,MIA, I do hate some animals.,1,female
59,MIA, I thought it was just Kenny G.,1,female
60,MIA, I associate it with facials. It’s relaxing.,1,female
61,MIA," Right, but it’s good to talk over. Where I grew up there’s this jazz station they’d play at cocktail parties whenever they served the salami and cheese.",1,female
62,MIA, Your club?,1,female
63,MIA," Hi, I just missed a call...",1,female
64,MIA, That show I told you about.,1,female
65,MIA, Right. It’s -- actually more like Rebel Without a Cause.,1,female
66,MIA, Obviously. No.,1,female
67,MIA, It’s the one I lie about.,1,female
68,MIA, ...Ok.,1,female
69,MIA, Ok. For research.,1,female
70,MIA," Great, actually: I got a call-back on a pilot.",1,female
71,MIA, Well -- it’s not picked up yet.,1,female
72,MIA," First they make the pilot, then if they like the pilot it goes on TV.",1,female
73,MIA," Well, no, I have a call-back.",1,female
74,MIA, It’s another audition.,1,female
75,MIA, ...Well when you put it like that it sounds like a huge accomplishment.,1,female
76,MIA, Oxygen.,1,female
77,MIA," You know what, I have to go. I love you.",1,female
78,MIA," Two options. Follow my rules, or follow my rules. Kapish? You want to bully, you’d best be ready to get bullied --",1,female
79,MIA, I can do it another way --,1,female
80,MIA, Shit. No. Yes. I’ll change...,1,female
81,MIA, I’m sorry.,1,female
82,MIA, It’s a play. I’m going to put it on myself.,1,female
83,MIA, Actually -- it’s a -- it’s a one-woman show...,1,female
84,MIA, I think so.,1,female
85,MIA, Nice meeting you.,1,female
86,MIA, ...You’re just saying that.,1,female
87,MIA, I don’t know... Is the whole thing too nostalgic?,1,female
88,MIA, But do you think people will like it?,1,female
89,MIA, You always say that.,1,female
90,MIA, Fine -- as long as you sit front-row ‘cause I’ll probably throw up on the middle of the stage otherwise.,1,female
91,MIA, I made something for you.,1,female
92,MIA, It could be the name design. On the door.,1,female
93,MIA, That’s what you should name it.,1,female
94,MIA," Sebastian, no one’s going to a club called “Chicken on a Stick”.",1,female
95,MIA, No. Drop the chicken. Drinks and jazz. And it’s time to start looking for other places.,1,female
96,MIA, Make your own history.,1,female
97,MIA, I’m doing that.,1,female
98,MIA, The one who offered you a gig.,1,female
99,MIA, Why was it weird between you two?,1,female
100,MIA, He did offer you a job.,1,female
101,MIA, Are you going to call him?,1,female
102,MIA, Ok...,1,female
103,MIA," Thanks Harry, I’m good.",1,female
104,MIA, I think today’s San Diego. I’m not sure...,1,female
105,MIA, Nothing...,1,female
