,character,text,number,types
438,ARAGORN, No news of Frodo?,3,male
439,ARAGORN, We still have time.,3,male
440,ARAGORN, What does your heart tell you?,3,male
441,ARAGORN, I will go.,3,male
442,ARAGORN, They must be warned!,3,male
443,ARAGORN, The beacons of Minas Tirith! The beacons are lit! Gondor calls for aid!,3,male
444,ARAGORN, You ride with us?,3,male
445,ARAGORN, Six thousand will not be enough to break the lines of Mordor.,3,male
446,ARAGORN, Every hour lost hastens Gondor's defeat. We have till dawn. Then we must ride.,3,male
447,ARAGORN, My Lord Elrond.,3,male
448,ARAGORN, She stayed?,3,male
449,ARAGORN," It will not be our end, but his.",3,male
450,ARAGORN, There are none.,3,male
451,ARAGORN," Murderers, traitors - You would call upon them to fight? They believe in nothing. They answer to no-one.",3,male
452,ARAGORN, Sauron will not have forgotten the Sword of Elendil...,3,male
453,ARAGORN, Ú-chebin estel anim. I keep none for myself.,3,male
454,ARAGORN, Éowyn...,3,male
455,ARAGORN, Why have you come?,3,male
456,ARAGORN, It is but a shadow and a thought that you love ... I cannot give you what you seek.,3,male
457,ARAGORN," Not this time ... This time you must stay, my friend.",3,male
458,ARAGORN, Brego!,3,male
459,ARAGORN, One who will have your allegiance.,3,male
460,ARAGORN, You will suffer me!,3,male
461,ARAGORN, I summon you to fulfill your oath!,3,male
462,ARAGORN, It has been remade!,3,male
463,ARAGORN, I am Isildur's heir. Fight for me and I will hold your oath fulfilled. What say you?,3,male
464,ARAGORN, I hold your oath fulfilled... Go. Be at peace.,3,male
465,ARAGORN," If Sauron had the Ring, we would know it.",3,male
466,ARAGORN, No.,3,male
467,ARAGORN, Draw out Sauron's armies - empty his lands. Then we gather our full strength and march on the Black Gate.,3,male
468,ARAGORN, Not for ourselves ... But we can give Frodo his chance if we keep Sauron's eye fixed upon us. Keep him blind to all else that moves.,3,male
469,ARAGORN, Let the lord of the Black Land come forth; let justice be done upon him.,3,male
470,ARAGORN, Pull back! Pull back!,3,male
471,ARAGORN, Hold your ground - hold your ground! Sons of Gondor - of Rohan ... my brothers!,3,male
472,ARAGORN, For Frodo...,3,male
473,ARAGORN, This day does not belong to one man but to all. Let us together rebuild this world that we may share in the days of peace.,3,male
474,ARAGORN, Every day Frodo moves closer to Mordor.,3,male
475,ARAGORN, ...the blade that was broken shall return to Minas Tirith.,3,male
476,ARAGORN, I do not fear death!,3,male
477,ARAGORN, Fight for us and regain your honor!,3,male
478,ARAGORN, What say you?,3,male
479,ARAGORN, What say you?,3,male
480,ARAGORN, There's still hope for Frodo. He needs time and safe passage across the Plains of Gorgoroth. We can give him that.,3,male
481,ARAGORN," I see in your eyes the same fear that would take the heart of me. A day may come when the courage of Men fails; when we forsake our friends and break all bonds of fellowship; but it is not this day - an hour of wolves and shattered shields, when the Age of Men comes crashing down - but it is not this day!! This day we fight! By all that you hold dear on this good earth - I bid you stand!",3,male
482,ARAGORN, Men of the West!,3,male
483,ARAGORN," Et Eärello Endorenna utúlien. Sinome maruvan ar Hildinyar tenn' Ambar-metta. Out of the Great Sea to Middle-earth I am come. In this place will I abide, and my heirs, unto the ending of the world.",3,male
484,ARAGORN, Hannon le. Thank you.,3,male
485,ARAGORN, My friends ... you bow to no-one.,3,male
526,ARWEN, What did you see?,3,female
527,ARWEN, You have the gift of foresight - tell me what you have seen.,3,female
528,ARWEN, There is also life.,3,female
529,ARWEN, But it is not lost...,3,female
530,ARWEN," Some things are certain. If I leave him now, I will regret it forever. Ada, it is time.",3,female
531,ARWEN, Ada...,3,female
532,ARWEN," This was my choice. Ada ... Whether by your will or not, there is no ship now that can bear me hence.",3,female
545,ARWEN, You saw there was a child... you saw my son.,3,female
546,ARWEN," From the ashes a fire shall be woken, a light from the shadow shall spring, renewed shall be blade that was broken...",3,female
547,ARWEN, The crownless again shall be King...,3,female
548,ARWEN, Reforge the sword.,3,female
549,ARWEN," I choose a mortal life ... I wish I could have seen him, one last time...",3,female
701,BILBO," Tell me again, lad. Where are we going?",3,male
703,BILBO, Frodo ... Any chance of seeing that old Ring of mine ... the one I gave you?,3,male
704,BILBO, Oh ... pity. I should like to have held it one last time.,3,male
705,BILBO," Oh! Well, here’s a sight I have never seen before.",3,male
706,BILBO, I think I'm quite ready for another adventure.,3,male
558,DENETHOR, Perhaps you come to explain this?,3,male
559,DENETHOR," You think you are wise,  Mithrandir, yet for all your subtleties you have not wisdom. Do you think the eyes of the White Tower are blind? I have seen more than you know. With your left hand you would use me as a shield against Mordor, and with your right you would seek to supplant me.",3,male
560,DENETHOR," The rule of Gondor is mine, and no other's!",3,male
561,DENETHOR," And I shall not forget it, nor fail to reward that which is given...",3,male
562,DENETHOR, ...fealty with love...,3,male
563,DENETHOR, I do not think we should so lightly abandon the outer defenses; defenses that your brother long held intact.,3,male
564,DENETHOR, I will not yield the River and Pelennor unfought - Osgiliath must be retaken.,3,male
565,DENETHOR, Much must be risked in war. Is there a captain here who still has the courage to do his Lord's will?,3,male
566,DENETHOR," Yes, I wish that.",3,male
567,DENETHOR, That will depend on the manner of your return.,3,male
568,DENETHOR," Can you sing, Master Hobbit?",3,male
569,DENETHOR," And why should your songs be unfit for my halls, or for hours such as these. Come - sing me a song!",3,male
570,DENETHOR, Faramir!,3,male
571,DENETHOR, My son is dead. My line has ended.,3,male
572,DENETHOR, The House of Stewards has failed!...,3,male
573,DENETHOR, My line has ended.,3,male
574,DENETHOR, Rohan has deserted us.,3,male
575,DENETHOR," No tomb for Denethor and Faramir. No long, slow, sleep of death embalmed. We shall burn, like the heathen kings of old.",3,male
576,DENETHOR, The house of his spirit crumbles! He is burning ... already burning.,3,male
577,DENETHOR," Hear now, Peregrin, son of Paladin ... I release you from my service...",3,male
578,DENETHOR, Set a fire in our flesh!,3,male
579,DENETHOR, No! Do not take my son from me!,3,male
580,DENETHOR, Perhaps you come to tell me why my son is dead.,3,male
581,DENETHOR," I know who rides with Théoden of Rohan. Oh, yes. Word has reached my ears of this Aragorn, son of Arathorn, and I tell you now, I will not bow to this Ranger from the North, last of a ragged house long bereft of Lordship.",3,male
582,DENETHOR, ...valor with honor...,3,male
583,DENETHOR, ...disloyalty with vengeance.,3,male
584,DENETHOR, Say not that he has fallen...,3,male
585,DENETHOR, Théoden's betrayed me.,3,male
586,DENETHOR, Abandon your posts!,3,male
587,DENETHOR, Flee! Flee for your lives!,3,male
588,DENETHOR, Bring wood and oil!,3,male
589,DENETHOR, Go now and die in what way seems best to you.,3,male
590,DENETHOR, Faramir...,3,male
688,DENETHOR, Pour oil on the wood!,3,male
