,character,text,number,types,is_character
264,AGENT 1, Are you Jake Sully?,1,NaN,True
265,AGENT 1, Your brother represented a significant investment.  We’d like to talk to you about taking over his contract.,1,NaN,True
269,CREW CHIEF, Exopacks on!,1,male,True
270,CREW CHIEF," Remember people, you lose your mask you’re unconscious in 20 seconds and you’re dead in four minutes. Let’s nobody be dead today, it looks bad on my report.",1,male,True
271,CREW CHIEF," Exopack on, let’s go!",1,male,True
272,CREW CHIEF, Go directly into the base! Do not stop! Go straight inside!,1,male,True
707,EYTUKAN, Why do you bring this creature here?,1,male,True
708,EYTUKAN," I have said no dreamwalker will come here, to offend our home!  His alien smell fills my nose",1,male,True
709,EYTUKAN, No!  This is the first warrior dreamwalker we have seen.  We need to learn more about him.,1,male,True
710,EYTUKAN, You speak truth.  We must understand these Sky People if we are to drive them out.,1,male,True
711,EYTUKAN, Did your Spirit Animal come?,1,male,True
712,EYTUKAN, You are now a son of the Omaticaya.  You are part of the People.,1,male,True
713,EYTUKAN, Tsu’tey will lead the war party!,1,male,True
714,EYTUKAN, Stop!  This is not a proper challenge.,1,male,True
715,EYTUKAN," Speak, Jakesully.",1,male,True
716,EYTUKAN, Take the ikran! Attack from above!,1,male,True
717,EYTUKAN, Everybody outside! Go to the Forest.,1,male,True
718,EYTUKAN, Daughter -- take my bow. Protect the People.,1,male,True
408,GRACE, Who’s got my goddamn cigarette?!,1,female,True
409,GRACE, Norm.  I hear good things about you. How's your Na'vi?,1,female,True
410,GRACE, Not bad.  You sound a little formal.,1,female,True
411,GRACE," Yeah, yeah, I know who you are, and I don’t need you.  I need your brother. You know -- the PhD who trained three years for this mission.",1,female,True
412,GRACE, How much lab training have you had?  Ever run a gas chromatograph?,1,female,True
413,GRACE, Any actual lab work at all?,1,female,True
414,GRACE, You see?  You see?  They’re pissing on us without even the courtesy of calling it rain. I’m going to Selfridge.,1,female,True
415,GRACE," Parker, I used to think it was benign neglect, but now I see you’re intentionally screwing us.",1,female,True
416,GRACE," I need a research assistant, not some jarhead dropout.",1,female,True
417,GRACE, Lucky?  How is this in any way lucky?,1,female,True
418,GRACE, The last thing I need is another trigger happy asshole out there!,1,female,True
419,GRACE, That tends to happen when you use machine guns on them.,1,female,True
420,GRACE, How much link time have you logged?,1,female,True
421,GRACE, Tell me you’re joking.,1,female,True
422,GRACE," So you just figured you’d come out here to the most hostile environment known to man, with no training of any kind, and see how it went?  What was going through your head?",1,female,True
423,GRACE, Relax and let your mind go blank.  That shouldn’t be hard for you.,1,female,True
424,GRACE," Go figure. Alright, I’m going in.",1,female,True
425,GRACE," Well who’d you expect, numbnuts?  Think fast!",1,female,True
426,GRACE, Motor control is looking good.,1,female,True
427,GRACE, Lights out amigos.  See ya’ at dinner.,1,female,True
428,GRACE, Damn.  Same old sack a’ bones.,1,female,True
429,GRACE, Start calibrating. We’re on the flight line in ten minutes.,1,female,True
430,GRACE, What did Atilla want?,1,female,True
431,GRACE," Yeah. Well, listen to me, Marine --",1,female,True
432,GRACE," -- you’re driving an avatar, now.  That means you’re in my world, got it?",1,female,True
433,GRACE," That son of a bitch has screwed up this program enough.  All this -- -- exists so we can go out there and build a bridge of trust to these people, who could teach us so much.  But thanks to Quaritch and his thugs the Na’vi won’t even talk to us anymore.",1,female,True
434,GRACE," We have a new face. You’re fluent, you’ve studied the culture.  You’re non-threatening. The ones we know best -- the Omaticaya clan -- may give you a chance. Maybe you can get them back to the table before things go tits-up for good.",1,female,True
435,GRACE," We don’t.  They contact us. If they see us taking our samples, treating the forest with respect -- Not trampling everything in sight -- they may reach out to us.",1,female,True
436,GRACE, Just keep your mouth shut and let Norm do the talking.,1,female,True
437,GRACE," Looks like a bull, six cows and some juveniles.",1,female,True
438,GRACE, Stay with the ship. One idiot with a gun’s enough.,1,female,True
439,GRACE," Relax, Marine.  You’re making me nervous.",1,female,True
440,GRACE, I’m sure they’re watching us right now.,1,female,True
441,GRACE," Bring the soil probe -- right there, yellow case.",1,female,True
442,GRACE, The stingbats knock them off.  I guess I always hope somebody will come back and read them.,1,female,True
443,GRACE, The Na’vi learned as much about us as they needed to know.,1,female,True
444,GRACE, Are you going to help with this gear? We’ve got a lot to do.,1,female,True
445,GRACE," See, right here where the roots of the two trees interact.",1,female,True
446,GRACE, Don’t shoot.  You’ll piss it off.,1,female,True
447,GRACE," Jake, that armor’s too thick. Trust me.",1,female,True
448,GRACE," It’s a territorial threat display. Do not run, or he’ll charge.",1,female,True
449,GRACE, Hold your ground!,1,female,True
450,GRACE, Run.  Definitely RUN! He hacks manically at the end of a cut sapling with,1,female,True
451,GRACE, Shit.,1,female,True
452,GRACE, He’s not going to make it till morning.,1,female,True
453,GRACE," Come on back, kid, that’s it.",1,female,True
454,GRACE," Damn, you were dug in like a tick. Is the avatar safe?",1,female,True
455,GRACE, -- so the kid’s out there one night and he’s got the Queen Bitch herself offering him the spare room and the car keys. Unbelievable.,1,female,True
456,GRACE," For reasons I cannot fathom, the Omaticaya have chosen you.  God help us all.",1,female,True
457,GRACE, He’s the clan leader -- -- but she’s the spiritual leader.  Like a shaman.,1,female,True
458,GRACE," Knock it off. Jesus, it’s like kindergarten around here.",1,female,True
459,GRACE, Neytiri was my best student.  She and her sister Silwanin.  Just amazing girls.,1,female,True
460,GRACE," No, she’s dead. Okay, let’s go -- village life starts early.",1,female,True
461,GRACE, Don’t do anything unusually stupid.,1,female,True
462,GRACE, I’m not about to let Quaritch and Selfridge micro-manage this thing. We’re going up into the mountains.,1,female,True
463,GRACE, That’s right.,1,female,True
464,GRACE, See these magnetic formations.  We’re getting close.,1,female,True
465,GRACE, Yup. We’re in the flux vortex.,1,female,True
466,GRACE," Jake, take number two, it’s the least glitchy.  Norm, I need you to operate Jake’s link.",1,female,True
467,GRACE," It’s not our choice, Norm.",1,female,True
468,GRACE, He can’t go far.,1,female,True
469,GRACE, Let’s get you in.,1,female,True
470,GRACE," No -- now, when it’s fresh.",1,female,True
471,GRACE," I See you, Neytiri Mo’at’ite.",1,female,True
472,GRACE, This isn’t just about eye-hand coordination out there.  You need to listen to what she says.  Try to see the forest through their eyes.,1,female,True
473,GRACE, You’re still losing weight.  Here --,1,female,True
474,GRACE, Other body.  You need to take care of this body.,1,female,True
475,GRACE," Jake, I’m serious -- you look like crap. You’re burning too hard.",1,female,True
476,GRACE," I’m telling you, as your boss and someone who might even consider being a friend someday, to take some down time.",1,female,True
477,GRACE, Yeah -- you’re gonna go ride a banshee. Or die trying.,1,female,True
478,GRACE," And this is your check up from the neck up, Marine.  You’re getting in way too deep. Trust me, I learned the hard way.",1,female,True
479,GRACE, Neytiri’s sister -- Sylwanin -- stopped coming to school.  She was angry about the clear-cutting.,1,female,True
480,GRACE," One day, she and a couple of other young hunters came running in, all painted up -- they’d set a bulldozer on fire -- I guess they thought I could protect them.",1,female,True
481,GRACE, The troopers pursued them to the schoolhouse.,1,female,True
482,GRACE," They killed Sylwanin in the doorway. Right in front of Neytiri.  Then shot the others. I got most of the kids out, before they shot me.",1,female,True
483,GRACE, Yeah.,1,female,True
484,GRACE, A scientist stays objective -- we can not be ruled by emotion.  But I poured ten years of my life into that school. They called me sa’atenuk. Mother. That kind of pain reaches back through the link.,1,female,True
485,GRACE, It’s a job.  Learn what you can -- but don’t get attached.,1,female,True
486,GRACE," It’s not our world, Jake.  And we can’t stop what’s coming.",1,female,True
487,GRACE," The Great Leonopteryx is the apex aerial predator.  Not only rare, but the sightings tend not to get reported.",1,female,True
488,GRACE, Vitraya Ramunong -- The Well of Souls. It’s their most sacred place.,1,female,True
489,GRACE," Something big is going on in there, biologically. I’d die to get samples, but outsiders are strictly forbidden.",1,female,True
490,GRACE, Watch that stuff.  It’ll knock you into next week.,1,female,True
491,GRACE," Jake is making incredible progress, years worth in just a few months.  But -- we need more time.",1,female,True
492,GRACE," Parker, it’s their ancestral home. They’ve lived there since before human history began. You can spare them a few more weeks.",1,female,True
493,GRACE," Jake, I can’t allow this.  You’re just not strong enough.",1,female,True
494,GRACE, Will you listen to me? Sometimes the Na’vi themselves die in these vision quests. The venom takes you to the edge of death.,1,female,True
495,GRACE, No matter what you prove out there-- you are still in here. Right here.,1,female,True
