character,text,gender
NARRATOR," Once upon a time in the hidden heart of France, a handsome young Prince lived in a beautiful castle...",male
NARRATOR," Although he had everything his heart desired, the Prince was selfish and unkind.",male
NARRATOR, He taxed the village to fill his castle with the most beautiful objects...,male
NARRATOR, ... and his parties with the most beautiful people.,male
NARRATOR," Then, one night, an unexpected intruder arrived at the castle, seeking shelter from the bitter storm.  As a gift, she offered the Prince a single rose.",male
NARRATOR," Repulsed by her haggard appearance, the Prince turned the woman away.  But she warned him not to be deceived by appearances, for beauty is found within.",male
NARRATOR," And when he dismissed her again, the old woman’s outward appearance melted away to reveal...",male
NARRATOR, ...a beautiful Enchantress.,male
NARRATOR, The Prince tried to apologize but it was too late.  For she had seen that there was no love in his heart.,male
NARRATOR," As punishment, she transformed him into a hideous beast...",male
NARRATOR, ... and placed a powerful spell on the castle and all who lived there.,male
NARRATOR," As days bled into years, the Prince and his servants were forgotten by the world.  For the Enchantress had erased all memory of them from the minds of the people they loved.",male
NARRATOR," But the rose she had offered was truly an enchanted rose.  If he could learn to love another and earn their love in return by the time the last petal fell, the spell would be broken.  If not, he would be doomed to remain a beast for all time.",male
NARRATOR," As the years passed, he fell into despair and lost all hope.  For who could ever learn to love a beast?",male
DIVA," Oh how divine Glamour, music and magic combine See the maidens so anxious to shine Look for a sign that enhances Chances She’ll be his special one",female
DIVA," What a display! What a breathtaking thrilling array Every prince, every dog has his day Let us sing with passion, gusto Fit to bust - oh Not a care in the world",female
DIVA," Oh, Maestro.",female
BELLE," Little town, it’s a quiet village Every day like the one before Little town full of little people Waking up to say...",female
BELLE, There goes the baker with his tray like always The same old bread and rolls to sell,female
BELLE," Good morning, Monsieur Jean.  Have you lost something again?",female
BELLE, To return this book to Pere Robert. It’s about two lovers in fair Verona.,female
BELLE, There must be more than this provincial life,female
BELLE, Two cities in Northern Italy.  I didn’t want to come back.,female
BELLE," Thank you, Pere Robert.  Your library almost makes our small corner of the world feel big.",female
BELLE, Oh... isn’t this amazing? It’s my favorite part because you’ll see Here’s where she meets Prince Charming But she won’t discover that it’s him ‘Til chapter three,female
BELLE, You’ve read it?,female
BELLE," Sorry, not tonight.",female
BELLE, No.,female
BELLE," Papa, do you think I’m odd?",female
BELLE, I don’t know.  People talk.,female
BELLE, Just tell me one more thing about her.,female
BELLE, A rose like the one in the painting.,female
BELLE," And every year, you bring it.",female
BELLE, I’ll see you tomorrow!,female
BELLE, Stay safe...,female
BELLE, The laundry.,female
BELLE, ...over the dark wood.,female
BELLE, All I wanted was to teach a child to read.,female
BELLE, I’m not ready to have children.,female
BELLE," It's a small village, Gaston.  I've met them all.",female
BELLE," Gaston, we could never make each other happy.  No one can change that much.",female
BELLE," I might be a farm girl, but I’m not simple.  I’m sorry, but I will never marry you, Gaston.",female
BELLE," Can you imagine?  Me, the wife of that boorish, brainless...",female
BELLE, I want adventure in the great wide somewhere I want it more than I can tell And for once it might be grand To have someone understand I want so much more than They’ve got planned,female
BELLE, Philippe?,female
BELLE, Who said that?  Who’s there?,female
BELLE, Papa!?  Is that you?,female
BELLE," Oh, your hands are ice.  We need to get you home.",female
BELLE, Who?!,female
BELLE, I’ve come for my father.,female
BELLE, Liar!,female
BELLE," I asked for the rose.  Punish me, not him!",female
BELLE, A life sentence for a rose?,female
BELLE, Come into the light.,female
BELLE," Alright, Papa.  I will leave. I need a minute alone with him.",female
BELLE, I should have been with you.,female
BELLE, Forget you?  Everything I am is because of you.,female
BELLE," I love you too, Papa...",female
BELLE, He is my father.,female
BELLE, Don’t hurt him!,female
BELLE, My room?  But I thought --,female
BELLE, AHHH!,female
BELLE, What are you?,female
BELLE, And you can talk.,female
BELLE, Why would I be startled?  I’m talking to a candle.,female
BELLE," Why, what’s in the west wing?",female
BELLE, It’s... beautiful.,female
BELLE," Is everything here alive? Hello, what’s your name?",female
BELLE, But I’m not a princess.,female
BELLE, Just a minute.,female
BELLE, You’ve taken me prisoner and now you want to have dinner with me?  Are you insane?,female
BELLE, And I told you no!,female
BELLE, I’d starve before I ever ate with you!,female
BELLE, I told you to go away.,female
BELLE, I’m so worried about him.  He’s never been on his own.,female
BELLE," But he said, “If she doesn’t eat with me, she doesn’t eat at all.”",female
BELLE, Surely you’re as trapped here as I am. Don’t you ever want to escape?,female
BELLE, Lumiere mentioned something about the West Wing...,female
BELLE, Good night.,female
BELLE, Nothing.,female
BELLE, Getting out of here!,female
BELLE, You have to help me... you have to stand...,female
BELLE," If you held still, it wouldn’t hurt as much.",female
BELLE," Well if you hadn’t frightened me, I wouldn’t have run away.",female
BELLE, Well you should learn to control your temper.,female
BELLE, Why do you care so much about him?,female
BELLE, But he has cursed you somehow. Why?  You did nothing.,female
BELLE, How in the midst of all this sorrow Can so much hope and love endure? I was innocent and certain Now I'm wiser but unsure,female
BELLE, What happens when the last petal falls?,female
BELLE, I want to help you.  There must be some way to lift the curse.,female
BELLE, So you know Shakespeare?,female
BELLE," Actually, “Romeo and Juliet” is my favorite play.",female
