character,text,gender
ELIO, L'usurpateur. (The usurper),male
ELIO, Il faut que je descende. (I’d better go down.),male
ELIO, Hello.,male
ELIO, An my room is now your room. I’ll be next door.,male
ELIO, We're sharing the bathroom. It's my only way out...,male
ELIO, We’re being called to dinner.,male
ELIO, I can show you around.,male
ELIO, Should I take him to Montodine?,male
ELIO, Should we take Anchise’s bikes?,male
ELIO, Nothing. Wait for summer to end.,male
ELIO, We come here only for Christmas and some other vacation..,male
ELIO," And Easter too. We are Jewish, English, American, Italian, French... somewhat atypical. Besides my family you are probably the only other Jew who has set foot in this town.",male
ELIO, Transcribe music. Read books. Swim at the river. Go out at night.,male
ELIO, He does this every year...,male
ELIO, How did you know about this place?,male
ELIO, But I am relaxing.,male
ELIO, Je ne sais pas. (Who knows?),male
ELIO, Non vi sembra ineducato come dice “Later...”? arrogante? Mi sembra che facciamo di tutto per farlo stare a suo agio da noi. (Don’t you think it’s rude when he says “Later...”? Arrogant?,male
ELIO," You watch, this is how he’ll say goodbye to us when the time comes. With his gruff, slapdash, Later!",male
ELIO," Yeah, but what if I grow to hate him?",male
ELIO, Non mi va. (I don’t feel like it),male
ELIO, Perché non mi va!,male
ELIO, J’en ai pas envie. (I don’t want to.),male
ELIO, I’m... I’m... I have... an allergy.,male
ELIO," Later, maybe.",male
ELIO, Must we?,male
ELIO, Reading my music.,male
ELIO," Thinking, then.",male
ELIO, Private.,male
ELIO, So I won’t tell you.,male
ELIO, I thought you didn’t like it. Hated it...,male
ELIO, The same one?,male
ELIO, Follow me.,male
ELIO, I just played it the way Liszt would have played it if he’d jimmied around with it.,male
ELIO, Not by much. That’s how Busoni would've played it if he’d altered Liszt’s version.,male
ELIO," Bach never wrote it for guitar. In fact, we’re not even sure it’s Bach at all.",male
ELIO," Okay, okay. No need to get so worked up.",male
ELIO, Sei stato al fiume? (You've been at the river?),male
ELIO, I was.,male
ELIO, Maybe it did when you wrote it.,male
ELIO, Kind?,male
ELIO, Che ne so. (I don’t care.),male
ELIO, Pourquoi je serais fâché contre Chiara ? (Why should I be angry with Chiara?),male
ELIO, Je serai là avant toi. (Let’s meet tomorrow night. I’ll be here before you.),male
ELIO, We almost did it. Marzia and me.,male
ELIO, Dunno.,male
ELIO," All I had to do was find the courage to reach out and touch, she would have said yes.",male
ELIO, Can’t I come too?,male
ELIO, On va au lac de Garde avec mon père. Il veut montrer à Oliver l'endroit où ils draguent. (We’re going to Lake Garda with dad. He wants to show Oliver where they’re dredging.),male
ELIO," Il est à l'intérieur, il aide mon père. Tu étais incroyable sur la piste, hier soir. (He’s inside helping dad. You were great on the dance floor last night.)",male
ELIO," Et il est beau aussi, non? (And he’s great looking, isn’t he?)",male
ELIO, Dad always sits up front with Anchise to navigate.,male
ELIO, What would be the harm in that?,male
ELIO, Tregua? (Truce?),male
ELIO, Oliver!,male
ELIO, I have to go!!,male
ELIO, “The Cosmic Fragments” by Heraclitus.,male
ELIO, I’d never have the courage to ask such a question.,male
ELIO, My mom’s been reading this German romance. She read some of it to my Father and I the day the lights went out.,male
ELIO, Yes.,male
ELIO," Better to speak, she said. But she’s on her guard. She senses a trap somewhere.",male
ELIO," No, he fudges.",male
ELIO," I’ll go, if you want me to.",male
ELIO, Now?,male
ELIO, No.,male
ELIO, Not bad at all. I thought you didn’t smoke.,male
ELIO, No. This is World War I. You’d have to be at least eighty years old to have known any of them.,male
ELIO," I know nothing Oliver. Nothing, just nothing.",male
ELIO, If you only knew how little I know about the things that really matter.,male
ELIO, You know what things. By now you of all people should know.,male
ELIO, Because I thought you should know.,male
