,character,text,gender
0,ANDY, What floor is Elias-Clarke? Human Resources.,female
1,ANDY, This article was about the Take Back the Night march. This was a four-part series on the impact of busing on the public schools...,female
2,ANDY, And the other one--?,female
3,ANDY," Hi, I have an appointment with Emily Charlton--",female
4,ANDY, And you’re replacing yourself.,female
5,ANDY, Yes. Of course. Who’s Miranda?,female
6,ANDY, Sounds great. I’d love to be considered.,female
7,ANDY, What makes you think I’m not interested in fashion?,female
8,ANDY, What’s wrong?,female
9,ANDY," Wow, this is like self-esteem camp.",female
10,ANDY, My name is Andy Sachs. I recently graduated from--,female
11,ANDY, I think I could do a good job as your assistant and--,female
12,ANDY, No.,female
13,ANDY, No.,female
14,ANDY, That depends on--,female
15,ANDY, I was Editor in Chief of the Daily Northwestern. I won a national competition for college journalists with a series on the janitor’s union --,female
16,ANDY, --that uncovered the exploitation of--,female
17,ANDY, Thank you for your time.,female
18,ANDY, Don’t be a jerk.,female
19,ANDY," Okay, how is it that you know who she is and I didn’t?",female
20,ANDY," Yeah, it’s just that I’m not one of them.",female
21,ANDY, You should see the way the girls dress at Runway. I’m not sure I have anything to wear to work.,female
22,ANDY, I think I might.,female
23,ANDY, You are so full of it.,female
24,ANDY, Hello? Now?,female
25,ANDY, I’m almost there.,female
26,ANDY, Yes. She gave me the job.,female
27,ANDY," Actually, I’m from Cincinnati.",female
28,ANDY, What if the building’s on fire or my appendix explodes or something?,female
29,ANDY, Man the desk at all times. Got it.,female
30,ANDY, How do I prove I’m not a psycho?,female
31,ANDY, Wait. What do I do if--,female
32,ANDY," Hi, I’m Andy, I’m the new--",female
33,ANDY," That’s very nice of you, but I don’t need those. Miranda hired me. She knows what I look like.",female
34,ANDY," Actually, it’s Andy.",female
35,ANDY, What kind of--,female
36,ANDY, Demar--,female
37,ANDY, Yes?,female
38,ANDY, Demarchelier... Demarchelier...,female
39,ANDY," She called me in and asked me about Pier 59. She said something about Simone and Frankie and someone else. And she needs skirts from Calvin Klein. I think that’s the most important thing, but I couldn’t tell. Oh, and there was something about a pony.",female
40,ANDY," I tried to ask her, but--",female
41,ANDY, Me?,female
42,ANDY," So I just, what, go down to the Calvin Klein store and ask them--",female
43,ANDY, Of course not. I’m going... to his house.,female
44,ANDY, Sorry. Got it. What’s the nearest subway stop?,female
45,ANDY, Thanks.,female
46,ANDY, You’re going to say a million girls would kill for my job.,female
47,ANDY, I’m about to walk in. I’ll call you as soon as--,female
48,ANDY," There’s a um, variety of skirts. Let’s see...",female
49,ANDY, I’m sorry. What’s your name?,female
50,ANDY, It’s Liz.,female
51,ANDY, Is Ivan in by any chance?,female
52,ANDY, You haven’t peed since I left?,female
53,ANDY, The run-through. Right.,female
54,ANDY, Is it always like this?,female
55,ANDY, You eat lunch?,female
56,ANDY, None of the girls here eat anything?,female
57,ANDY, I’m a 6.,female
58,ANDY," Okay. You think my clothes are hideous. I get it, okay?",female
59,ANDY," No, no, no. It’s just...",female
60,ANDY, You should have seen the look she gave me. I thought the flesh was going to melt off her face.,female
61,ANDY, I just have to stick it out for one year. Then I can do what I came to New York to do. I can’t let Miranda get to me. I won’t.,female
62,ANDY, And give me that sandwich.,female
63,ANDY," Good morning, Miranda!",female
64,ANDY, I have Isaac.,female
65,ANDY, Dad! I’ll be right down!,female
66,ANDY, How did you-- I’m gonna kill Mom. Thank you.,female
67,ANDY," Oh, just go ahead.",female
68,ANDY, Hey. Not fair. I wrote those e- mails.,female
69,ANDY, Oh please. Not this again.,female
70,ANDY, Because it’s what you wanted. This is what I want.,female
71,ANDY, I’m an executive assistant.,female
72,ANDY," You have to trust me. Being Miranda’s assistant opens a lot of doors. Emily is going to Paris with Miranda in a few months, she’ll meet editors and writers from every important magazine.",female
73,ANDY," Absolutely, Miranda. Let me see what I can do.",female
74,ANDY," I need a jet from Miami to New York... A jet, any kind of jet... Yes, tonight, right now. From Miami to New York. As soon as possible. Please call me back as soon as the situation changes. I’m trying, Miranda. No one is flying out because of the weather.",female
75,ANDY, I’ve done everything I could think of. I don’t know what else to do.,female
76,ANDY, Oh my God. She is going to murder me.,female
77,ANDY," I’m so sorry, Miranda.",female
78,ANDY, I did everything I could think of--,female
79,ANDY," She hates me, Nigel.",female
80,ANDY, I need your help. I don’t know what to do. It’s like I’m completely beneath her contempt.,female
81,ANDY," That’s not fair. I’m lucky to be working for Miranda -- I didn’t get that at first, but I do now. I want to be here. But it just seems like no matter how hard I try, I don’t do anything right.",female
82,ANDY," Okay, fine!",female
83,ANDY, You do it with the other girls.,female
84,ANDY," Please, Nigel. Don’t make me beg...",female
85,ANDY, A... poncho?,female
86,ANDY, Miranda Priestly’s office. She’s not in. I’ll leave word.,female
87,ANDY, What do you think?,female
88,ANDY," Wanna lift, stranger?",female
89,ANDY, Bang & Olufsen. Charlie Rose sent it to Miranda for her birthday.,female
90,ANDY," Here... A bunch of Kiehl’s, some Mason Pearson hair brushes...",female
91,ANDY, It’s called “Pink”. For women.,female
92,ANDY, Sure you can.,female
93,ANDY," Thing is, it turns out there’s a lot more to Runway than fancy purses... you know who’s coming into the office Friday? John Updike.",female
94,ANDY," Look, there’s a piece by Jay McInerney, an essay by Joan Didion, an interview with Christiane Amanpour oh...",female
95,ANDY, Give me the phone.,female
96,ANDY, Give me the phone.,female
97,ANDY," Come on, guys. Give me the phone!",female
98,ANDY, I’m looking for James Holt...,female
99,ANDY, You.,female
100,ANDY, I’ll guard it with my life.,female
101,ANDY," Hi. I, um... I have to go.",female
102,ANDY," God, I love it when total strangers tell me how I feel.",female
103,ANDY, Christian Thompson? You’re kidding. You write for every magazine I love. I actually reviewed your collection of essays for my college paper.,female
104,ANDY," No, but I did point out some factual errors and a penchant for confessional semi-fiction that borders on self-indulgent.",female
105,ANDY," Well, I want to work somewhere like the New Yorker or Vanity Fair. I’m also a writer, but--",female
106,ANDY," Thank you. That would be great. Anyway, for now I’m Miranda Priestly’s assistant.",female
107,ANDY, Excuse me?,female
108,ANDY, I have to go.,female
109,ANDY, You. Are not a nice person.,female
110,ANDY," For your information, he’s really handsome. And we already live together!",female
111,ANDY, Where are you going?,female
112,ANDY, But I came back so we could hang out.,female
113,ANDY," Okay, look, I’m sorry about that--",female
114,ANDY," Yes, she explained every detail of her decision-making, then we brushed each other’s hair and gabbed about American Idol.",female
115,ANDY, What does that mean?,female
116,ANDY," Last time I was here, James was having this cool party and-- --and this is why you don’t like people riding up in the elevator with you.",female
117,ANDY, She pursed her lips and because of that he’s going to change his entire collection?,female
118,ANDY, --Galliano at Pastis. Done.,female
119,ANDY, It’s in the car.,female
120,ANDY," Of course. If I can deliver the Book, that means I must have done something right, that she doesn’t think I’m psycho. Oh, and she actually called me Andrea instead of Emily. Isn’t that great?",female
121,ANDY, Shit.,female
122,ANDY, But I can’t... Shh...,female
123,ANDY," Okay, before you start freaking out, it wasn’t such a big deal. The twins said hello, I said hello back, then I went upstairs and gave the book to Miranda--",female
124,ANDY, You’re right. I made a mistake.,female
125,ANDY, Wait a second. She’s going to fire me?,female
126,ANDY," Miranda, about last night, I--",female
127,ANDY, Of course. I’ll run down to Barnes & Noble right now.,female
128,ANDY, Not that I can recall.,female
129,ANDY, So you want the... unpublished manuscript.,female
130,ANDY, She doesn’t get it. There’s no way I can get that book. I don’t care who I call.,female
131,ANDY, Of course.,female
132,ANDY, No problem.,female
133,ANDY, Or--,female
134,ANDY," It’s for Miranda Priestly... it’s very important. Yes, I know, it’s impossible to get",female
