character,text,gender
CHANI, Paul...,female
CHANI, But not me.,female
CHANI, I knew.,female
CHANI, Paul. You need to wake up.,female
CHANI, Lisan al Gaib.,female
CHANI, I would not have let you hurt my friends.,female
CHANI, I don’t believe you are the Lisan Al Gaib. But I want you to die with honor.,female
CHANI, Jamis is a strong fighter. He won’t let you suffer.,female
CHANI, Yes?,female
CHANI, This is only the beginning.,female
PAUL, Mother.,male
JESSICA, It’s good you’re up early. Your father wants you in full dress before the Emperor’s Herald arrives.,female
JESSICA, Ceremonial.,female
JESSICA, Ceremony.,female
JESSICA," If you want it, make me give it to you. Use the Voice.",female
JESSICA, The glass can’t hear you. Command me.,female
JESSICA, Almost.,female
JESSICA, Better than any man has ever done.,female
JESSICA, Get dressed and come with me.,female
JESSICA, The Reverend Mother Gaius Helen Mohiam is here. She was my teacher at the Bene Gesserit school. Now she is Truthsayer to the Emperor himself. She would like to meet you. She wants to know about your dreams.,female
JESSICA, I’ll give you a moment.,female
JESSICA," Paul, please. Remember your training.",female
JESSICA, You must do everything the Reverend Mother tells you.,female
JESSICA, I must not fear. Fear is the mind- killer. Fear is the little death that brings obliteration.,female
JESSICA, I will face my fear. I will permit it to pass over me and through me.,female
JESSICA, Where the fear has gone there will be nothing!,female
JESSICA, Only I will remain.,female
JESSICA, Was this necessary?,female
JESSICA, Was I wrong?,female
JESSICA, Do you see so little hope?,female
JESSICA, Paul. I’m so sorry.,female
JESSICA, I know. It’s a terrible ordeal. But there are reasons...,female
JESSICA, You heard.,female
JESSICA," You don’t know everything. For thousands of years, we’ve been carefully crossing bloodlines to bring forth...",female
JESSICA, A mind powerful enough to bridge space and time. Past and future... who can help lead us into a better future. We think he’s very close now. Some believe he’s here.,female
JESSICA, Yes!,female
JESSICA, Lisan al-Gaib. Voice from the Outer World. It’s their name for messiah.,female
JESSICA, Preparing the way. These people have been waiting for centuries for the Lisan al-Gaib. They look at you and see the signs.,female
JESSICA, Oh. Is this Arrakeen custom?,female
JESSICA, Please rise.,female
JESSICA, The rest of you may go.,female
JESSICA, I know many things. I know you have a weapon concealed in your bodice.,female
JESSICA, Not now.,female
JESSICA, It’s a crysknife.,female
JESSICA, Be ready for violence.,female
JESSICA," Thank you, Dr Yueh.",female
JESSICA, What did you see?,female
JESSICA, You can’t know that. I barely know that. It’s only been a few weeks...,female
JESSICA, You have to sleep.,female
JESSICA, Close your eyes.,female
JESSICA, Don’t do this. You are not ready!,female
JESSICA, Your pitch was too high.,female
JESSICA, KILL HIM. NOW.,female
JESSICA, Harkonnen battle language. They’re demanding a counter-phrase.,female
JESSICA, They’ll be on their way.,female
JESSICA, Paul...,female
JESSICA, You’re afraid. What do you see that you fear?,female
JESSICA, Paul.,female
JESSICA, Your name is Paul. Paul Atreides. You are the Duke Paul Atreides.,female
JESSICA, Dr. Kynes.,female
JESSICA, You’re sure?,female
JESSICA, So. The Emperor’s taken a side. What says the Judge of the Change?,female
JESSICA, Chaos. Across the Imperium.,female
JESSICA, Careful...,female
JESSICA," Paul, no!",female
JESSICA, You’re not coming with us?,female
JESSICA, How?,female
JESSICA, Jet-flares behind us.,female
JESSICA, There’s greenery over there.,female
JESSICA, Run!,female
JESSICA," We have powerful friends. If you help us get offworld, to Caladan -- you’ll be well rewarded.",female
JESSICA, The conversation ran short.,female
JESSICA, Paul. Come down.,female
JESSICA, No. Paul has never killed a man.,female
JESSICA, Paul needs to get offworld. You must have ways. Smugglers. Ships...,female
PAUL, Full dress. Military?,male
PAUL," Why do we have to go through all this, when it’s already been decided?",male
PAUL, I just woke up. Can I please-- ?,male
PAUL, GIVE ME THE WATERRRRRR.,male
PAUL, GIVE ME THE WATER.,male
PAUL, Almost?,male
PAUL, No.,male
PAUL, Duncan.,male
PAUL, I did?,male
PAUL, So... you’re going back to Arrakis tomorrow. With the advance team.,male
PAUL, I would like you to take me with you.,male
PAUL, Duncan--,male
PAUL, Can I trust you with something?,male
PAUL, I’ve been having dreams. About Arrakis.,male
PAUL, And there’s...,male
PAUL, ...there’s a girl.,male
PAUL, I saw the Harkonnen legions...,male
PAUL, The first dream was a month ago. Before any of this happened.,male
PAUL, I dreamt about you. With the Fremen.,male
PAUL, I saw you lying dead. Fallen in battle. Your face clean-shaven.,male
PAUL, Duncan...,male
PAUL, You don’t think we’ll ever come back?,male
PAUL," Father, I’m here to ask you to join Duncan Idaho’s scout mission on Arrakis. I’d be an asset to him.",male
PAUL," Great leaders are raised in the mud, not around tables.",male
PAUL, Grandfather fought bulls for sport!,male
PAUL, What if I’m not?,male
PAUL, The future of House Atreides.,male
PAUL, You never told me that.,male
PAUL, I will.,male
PAUL," I could tell it was you by your footsteps, Gurney Halleck.",male
PAUL," Not today. Without Duncan, what’s the point?",male
PAUL, I guess I’m not in the mood today.,male
PAUL, I have you.,male
PAUL, Will it be that bad?,male
PAUL, Mother. What’s wrong?,male
PAUL, What is this?,male
PAUL, How does she know about my dreams?,male
PAUL, What is happening?,male
PAUL, What are you saying?,male
PAUL, You dismiss my mother in her own house.,male
PAUL, How dare you use the Voice on me?,male
PAUL, What’s in the box?,male
PAUL, Why are you doing this?,male
PAUL, Because I’m a Duke’s son?,male
PAUL, My father rules an entire planet.,male
PAUL, He’s getting a richer planet!,male
PAUL, I had one tonight.,male
PAUL, A girl. On Arrakis.,male
PAUL, Many times.,male
PAUL, Not exactly. Sometimes.,male
PAUL, I could have died.,male
PAUL, What does it mean? That I could be the One?,male
PAUL, You steer the politics of the Imperium from the shadows. I know.,male
PAUL, ...the One?,male
PAUL, All part of a plan. Do you... love my father?,male
PAUL, Thufir Hawat.,male
PAUL, I’m excited to say the least!,male
PAUL, They were pointing at us. What are they shouting?,male
PAUL, Planting superstitions.,male
PAUL, They see what they’ve been told to see.,male
PAUL, What about them?,male
PAUL, I didn’t know date palms could be found here.,male
PAUL, Should we remove them?,male
PAUL, Thanks for the humiliation old man.,male
PAUL, All of them?,male
PAUL, How can this stand? Isn’t there a Judge of the Change to oversee the transition?,male
PAUL, Duncan!,male
PAUL," Well, you smell much worse.",male
PAUL, How big was the place?,male
PAUL, It’s true.,male
PAUL, Won’t you stay? We would honor you.,male
PAUL, The Fremen make these?,male
PAUL, You admire them.,male
PAUL, You’re the Imperial Ecologist. Thank you for the stillsuits.,male
PAUL, This is the first time.,male
PAUL, It seemed the right way.,male
PAUL, Are you Fremen?,male
PAUL, What would you do if your ornithopter went down out here?,male
PAUL, Why don’t we shield the crawlers?,male
PAUL, Is there any way to kill that thing?,male
PAUL, That’s still three short.,male
PAUL, A shield generator weighs a hundred kilos.,male
PAUL, Yes Sire!,male
PAUL, THIS WAY! Seven there! Seven in here!,male
PAUL, I’m sorry. It won’t happen again.,male
PAUL, This wasn’t an allergic reaction. I inhaled spice and I had visions. With my eyes wide open.,male
PAUL, I know you are pregnant.,male
PAUL, Legend is a pretty word for a lie.,male
PAUL, How can I make my way if my destiny was written before I was born?,male
PAUL, The scarred trooper is deaf.,male
PAUL, Don’t you dare touch my mother!,male
PAUL, REMOVE HER GAG.,male
PAUL, REMOVE HER GAG.,male
PAUL, It’s a fremkit. Fremen survival gear. It’ll give us a chance.,male
PAUL, They’ve crippled the ship.,male
PAUL," Sand compactor. Paracompass. Thumper. “Maker hooks,” whatever they are. The Manual of the Desert. No stillsuits. The one thing we...",male
PAUL, There’s something awakening in my mind.,male
PAUL, Holy war. Spreading across the universe like unquenchable fire. A warrior religion that waves the Atreides banner. Fanatical legions worshipping at the shrine of my father’s skull. A crusade. In my name. My name. That’s the future. It’s coming.,male
PAUL, GET OFF ME!,male
PAUL, Someone is near. You need to drink.,male
PAUL, That’s Duncan!,male
PAUL, Fremen?,male
PAUL, Is there anyone else left?,male
PAUL, Yet you risk your life to help us.,male
PAUL, Who are you to the Fremen?,male
PAUL, Do you know what the Great Houses fear most? Just what’s happening here. The Sardaukar picking them off one by one. Only together can they stand against the Imperium. Would you bear witness? Testify that the Emperor moved against us here?,male
PAUL, But suppose I presented the Emperor with an alternative to chaos. The Emperor has no sons. Only daughters.,male
PAUL," You will call me my Lord or Sire. Fremen speak of the Lisan al-Gaib, the Voice from the Outer World who will lead them to Paradise.",male
PAUL," I know you loved a Fremen warrior, and lost him in battle. I know you walk in two worlds and are known by many names. I know your dream.",male
PAUL, Duncan!,male
PAUL, Thank you. Good luck!,male
PAUL, I must not fear. Fear is the mind- killer.,male
PAUL," As soon as we’re down, run for the rocks.",male
PAUL, Now we have to find the Fremen.,male
PAUL, That has to mean people. We’ll cross after dark. Like the Fremen do.,male
PAUL, Remember. Walk without rhythm. Like the Fremen do. Erratic movement.,male
PAUL, Someone called it.,male
PAUL, Stilgar!,male
PAUL, I was there when you came to my father’s council. With Duncan Idaho. You know me.,male
PAUL, One move and you die.,male
PAUL, Chani...,male
PAUL, I... Never mind.,male
PAUL, Do you yield?,male
PAUL, No.,male
PAUL, Desert power!,male
PAUL, Give. Me. The Water.,male
PAUL, Better than anyone else has ever done.,male
PAUL, Are you the new Weapons Master?,male
PAUL, That is rude.,male
PAUL, Old man.,male
PAUL, Why is Doctor Yueh here?,male
PAUL, This is Doctor Yueh’s handwriting. “There is an Atreides transmitter in the Fremkit. If anyone survives. They’ll find you.”,male
PAUL, You did this to me! You BENE GESSERIT. You made me a freak!,male
PAUL, Let’s get out of here.,male
PAUL," As Emperor, I could make a Paradise of Arrakis with a wave of my hand.",male
PAUL, Drum sand!,male
PAUL," The Emperor sent us to this place. And my father came -- not for the spice, but for the strength of these people. I am the Duke now. And my road leads into the desert. I can see it. If you’ll have us.",male
PAUL, We will come. And learn your ways.,male
JESSICA, You look tired. More dreams?,female
JESSICA, Paul.,female
JESSICA, And when it has gone past I will turn the inner eye to see its path.,female
JESSICA," The Bene Gesserit serve as powerful partners to the Great Houses, but there’s more to it.",female
JESSICA," Oh, Paul.",female
JESSICA, It means the Bene Gesserit have been at work here.,female
JESSICA, What is your name?,female
JESSICA," If you mean to harm me, I warn you: whatever you’re hiding won’t be enough.",female
JESSICA, It’s a maker of...,female
JESSICA, SET US FREE.,female
JESSICA, STOP!,female
JESSICA, CUT ME LOOSE.,female
JESSICA, GIVE ME THE KNIFE.,female
JESSICA, He’s gone!,female
JESSICA, We’re not high enough!,female
JESSICA, Paul...!,female
LETO," Smile, Gurney.",male
LETO, How much will they spend traveling here for this formality?,male
LETO," For centuries, House Atreides has stood for honor. Not only for itself, but for the benefit of all. Now the Emperor gives us his unconditional trust. He wants us to BRING PEACE ON ARRAKIS!",male
LETO, I miss him.,male
LETO, I think Arrakis is far away.,male
LETO," Out of the question. You’ll travel to Arrakis in a few weeks, like the rest of us.",male
LETO, Don’t throw my words back at me. You have responsibilities Duncan Idaho will never have.,male
LETO, Yes. And look where that got him.,male
LETO, Not what?,male
LETO, I told my father I didn’t want this either.,male
LETO," My father said, A good man doesn’t seek to lead. He’s called to it, and he answers. If your answer is no, you’ll still be the only thing I’ve ever needed you to be -- my son.",male
LETO, To Duncan’s last night on Caladan!,male
LETO," The Emperor is no stranger to treachery. Nor the Harkonnens. We have to be ready for anything. But this is our time. The Atreides never back down from a challenge. And when we prevail, it will mean a better life for the people of Arrakis. For all of us. Until then-- we keep our spirits up for the men. Hmm?",male
LETO," How are you, old friend?",male
LETO, It’s so quiet.,male
LETO," Our two most vulnerable points are the spaceport and the refinery. I want you guarding them around the clock. If we can’t harvest spice and ship it off-world, we’re dead here.",male
LETO, What do they say about this hell hole again?,male
LETO, That’s what they say.,male
LETO, My dear cousin Leto. Welcome to Arrakis. There’s a lot to learn. I thought I’d give you a few pointers. Baron Vladimir Harkonnen.,male
LETO, Let’s get started. Thufir. Operations.,male
LETO, How bad is it?,male
LETO, I want to see the harvesting fields for myself.,male
LETO, Have The Judge of the Change accompany us. We will make our case and at the same time have some Imperial protection.,male
LETO, This sietch. How was it hidden?,male
LETO, Millions of Fremen. You were right.,male
LETO, Well done.,male
LETO, Let him pass!,male
LETO, Diplomacy!,male
LETO," I know you’ve suffered under the Harkonnens. Name what you want. If it is in my power to grant, I will give it and ask for nothing.",male
LETO," Gurney. The Emperor has given me Arrakis as my fief, to rule and protect. I cannot promise not to travel in the desert, if duty compels me: but your sietches will be yours forever -- and you will never be hunted while I govern here.",male
LETO, But it will take time.,male
LETO, It’s all right.,male
LETO, I see it.,male
LETO, Wormsign?,male
LETO, Is that a worm?,male
LETO, How many men on that crawler?,male
LETO, Our ships can take six each.,male
LETO, We’ll find a way.,male
LETO," Yes! Gurney, have our escorts throw out their shield generators.",male
LETO, Paul stay behind and help the workers to get in!,male
LETO, Where are they? Delta Ajax niner! Put seven men each in my ships!,male
LETO, Damn the spice! I want every man off that crawler. Now!,male
LETO, You cannot take such risks. You have responsibilities.,male
LETO, Go!,male
LETO, You know what’ll happen if I fail to get spice production back on track. The Harkonnens will return.,male
LETO, I think you’re afraid it might be true.,male
LETO," If I tell you one day you’ll find yourself on a mountaintop -- what does that change? You still have to climb the mountain. Destiny grants us nothing -- and takes nothing away. We have to fight and bleed for the future we want. Because when all’s said and done, there’s only one way to find out if a prophecy is true. We earn it.",male
LETO, Not like that.,male
LETO, Security. Security. Hawat.,male
LETO, Why...?,male
LETO," Here I am, here I remain.",male
GURNEY, I am smiling.,male
GURNEY, You think we’ve won something?,male
GURNEY, So it is. The other Great Houses trust and admire us. And the Emperor is a jealous man. So. Maybe he’s giving Arrakis to us. Or maybe he’s giving us to Arrakis.,male
GURNEY, He knows. He -- He’s right here.,male
GURNEY, Don’t stand with your back to the door. How many times do we need to tell you?,male
GURNEY," With Duncan Idaho gone, I must make do as best I may.",male
GURNEY, Never let a man inside your guard! Even in sport! Not even me!,male
GURNEY," Mood?! What has mood to do with it? You fight when the necessity arises, no matter your mood! Now fight!",male
GURNEY," Aye. But look down, m’lord.",male
GURNEY," Bad is a child’s word. You don’t get it, do you? You don’t really understand the grave nature of what’s happening to us.",male
GURNEY," “My lungs taste the air of Time, Blown past falling sand...”",male
GURNEY, Atreides!,male
GURNEY, Yeah. That’s what worries me too.,male
GURNEY," “To shower, you scrub your ass with sand,” my Lord. That’s what they say.",male
GURNEY, Spice workers.,male
GURNEY, Paul Atreides! Late to his first strategy meeting! Sorry to drag you out of bed.,male
GURNEY, “For they shall suck of the abundance of the seas and the treasure hid in the sand.”,male
GURNEY, Who did the Emperor appoint?,male
GURNEY, A hostage. I love it.,male
GURNEY, You will address the Duke as “Sire” or “My Lord...”,male
GURNEY, I don’t like him.,male
GURNEY, What the hell’s a sand compactor?,male
GURNEY," My God, man, you’ve gone native.",male
GURNEY," The Judge of the Change, Sire. Dr. Liet Kynes.",male
GURNEY, Dust cloud!,male
GURNEY, A worm always comes?,male
GURNEY, They seem pretty calm about it.,male
GURNEY, What happens now?,male
GURNEY, Yes Sire!,male
GURNEY, Paul!,male
GURNEY," We have to run, Paul! Now!",male
GURNEY," I remember salt smoke from a beach fire, The seagulls crying on the strand...",male
GURNEY, God in Heaven. Get everything with guns off the ground!,male
GURNEY, WITH ME! WITH ME!,male
HAWAT," Three Guild Navigators, fifty-two parsecs...figure a hundred and forty decagrams of spice...a total of one-point-four-six million solaris, round-trip.",male
HAWAT, Young master! How does it feel to walk on another world?,male
