character,text,gender
COMMODUS, Do you think he's really dying?,male
COMMODUS, I think he's really dying this time.,male
COMMODUS, I've been so informed.,male
COMMODUS, And the Senators.  He wouldn't have summoned them if --,male
COMMODUS, The first thing I shall do is honor him with games worthy of his majesty.,male
COMMODUS, Why have we stopped?,male
COMMODUS, Where is my father?,male
COMMODUS, Is the battle won?,male
COMMODUS," My sister wants a bath, take her to the camp. Take me to my father.",male
COMMODUS, Have I missed it?,male
COMMODUS, Father.  Congratulations.  I shall sacrifice a thousand doves to honor your triumph.,male
COMMODUS," General, Rome salutes you and I embrace you as a brother.",male
COMMODUS," Your Spaniards seem invincible. May the Gods favor the Felix Regiment now and always... Here, Father, take my arm.",male
COMMODUS, She's at the camp.  She had no desire to see the gore of the battlefield.,male
COMMODUS, He's dying.,male
COMMODUS," Hail, warriors.  My congratulations.",male
COMMODUS," My old friend, my father tells me you're returning to Spain?",male
COMMODUS, A pity.  I'll need men like you in my army...,male
COMMODUS," General Maximus, may I present Senators Gaius and Falco.  Beware of this Gaius, he'll pour a honeyed potion in your ear and you'll wake up one day and all you'll say is ""Republic, Republic, Republic...""",male
COMMODUS, You've had my ear since we were children.  You could be a valuable ally in the Senate.,male
COMMODUS, There -- I warned you.,male
COMMODUS, Not a word about that sodomite bastard.,male
COMMODUS, I won't tolerate it.  His incessant criticism exhausts me.  The man can speak for five hours without taking a breath.,male
COMMODUS," Enough... Maximus, I would like to inspect the Felix Regiment at dawn. Please arrange it.",male
COMMODUS, Excuse me?,male
COMMODUS," Of course, how foolish of me.  Some other time...",male
COMMODUS, I search the faces of the Gods for ways to please you... to make you proud... and I can never do it. One kind word -- one full hug where you pressed me to your chest and held me tight -- would have been like the sun on my heart for a thousand years... What is it in me you hate so much?  My eyes are your eyes.  My hands are your hands. All I have ever wanted was to live up to you. Caesar.  Father.,male
COMMODUS," Lament with me, brother, our great father is dead.  I want --",male
COMMODUS, The surgeons say it was his breath that gave out.,male
