,character,text,number,types
0,GARTH,God-damn it.,1,male
1,GARTH,Climb up. The others are waiting.,1,male
2,GARTH,Best hold on...,1,male
3,GARTH,Gotta throw rocks before you swim.,1,male
4,GARTH,"Scatters the snakes, and lets the",1,male
5,GARTH,miners know you're friendly.,1,male
6,GARTH,You can tell them later.,1,male
7,GARTH,Doesn't bark. Won't even growl,1,male
8,GARTH,unless he's scared.,1,male
9,GARTH,Nothing.,1,male
10,GARTH,Snipe.,1,male
11,GARTH,You have a girlfriend in there?,1,male
12,GARTH,I'd hurry back before you lose her.,1,male
13,GARTH,There's no such thing as snipe.,1,male
14,GARTH,You've been had.,1,male
15,GARTH,Go on in. I'm sure she's waiting.,1,male
16,GARTH,Nice night.,1,male
17,GARTH,Looks like a good time.,1,male
18,GARTH,I better not. I don't think Mr.,1,male
19,GARTH,Gravlin would approve. Thanks.,1,male
20,GARTH,"Christ, why you always pointing",1,male
21,GARTH,that gun at me?,1,male
22,GARTH,It's okay.,1,male
23,GARTH,You're going to point that thing at,1,male
24,GARTH,"the floor, nice and slow, and then",1,male
25,GARTH,"you're going to engage the safety,",1,male
26,GARTH,and then you're going to hand it,1,male
27,GARTH,"over to me. Any of you gets hurt,",1,male
28,GARTH,Mr. Gravlin'll kill me.,1,male
29,GARTH,"There's a place I go sometimes,",1,male
30,GARTH,that's all.,1,male
31,GARTH,I told your father we need a radio.,1,male
32,GARTH,This ranch has had a lot of bad,1,male
33,GARTH,"luck. Gorgeous property, but it's",1,male
34,GARTH,cursed to hell.,1,male
35,GARTH,Used to be an old mining outfit.,1,male
36,GARTH,Thirty-five miners disappeared here,1,male
37,GARTH,about eighty years ago.,1,male
38,GARTH,Mine flooded. Some were drowned.,1,male
39,GARTH,Some were trapped in air pockets,1,male
40,GARTH,deep beneath the ground. Times at,1,male
41,GARTH,night I could swear I hear them,1,male
42,GARTH,"tapping, waiting for their rescue.",1,male
43,GARTH,Old Tuck never sent a rescue party.,1,male
44,GARTH,They say that's why there are no,1,male
45,GARTH,songbirds on this ranch: Too many,1,male
46,GARTH,canaries died in these mines.,1,male
47,GARTH,Helps to understand the will of the,1,male
48,GARTH,"land. And let me tell you, the will",1,male
49,GARTH,of this place ain't nothing pretty.,1,male
50,GARTH,Nowadays you get illegal immigrants,1,male
51,GARTH,"moving across the land at night,",1,male
52,GARTH,"desperate, afraid. Sometimes they",1,male
53,GARTH,set foot on the wrong property.,1,male
54,GARTH,There are no laws against shooting,1,male
55,GARTH,a 'trespasser' in the late hours of,1,male
56,GARTH,the night. Not if that man's got a,1,male
57,GARTH,Christian family to protect.,1,male
58,GARTH,Seen what the land did to your,1,male
59,GARTH,"dad's herd. Lesions, dropping",1,male
60,GARTH,calves.,1,male
61,GARTH,"He didn't sell the herd, Red. Can't",1,male
62,GARTH,sell them sick like that.,1,male
63,GARTH,Can't cure cattle like that. All,1,male
64,GARTH,you can do is put them down. And,1,male
65,GARTH,try to be merciful.,1,male
66,GARTH,Another family ranch swallowed up,1,male
