,character,text,number,types
26,MCGONAGALL," Good evening, Professor Dumbledore. Are the rumours true, Albus?",1,female
27,MCGONAGALL, And the boy?,1,female
28,MCGONAGALL, Do you think it wise to trust Hagrid with something as important as this?,1,female
29,MCGONAGALL," Albus, do you really think its safe, leaving him with these people? I've been watching them all day. They're the worst sort of Muggles imaginable. They really are",1,female
30,MCGONAGALL, This boy will be famous. There wont be a child in our world who doesn't know his name.,1,female
31,MCGONAGALL," Welcome to Hogwarts. Now, in a few moments, you will pass through these doors and join your classmates. But before you can take your seats you must be sorted into your houses. They are Gryffindor, Ravenclaw, Hufflepuff, and Slytherin. Now, while you are here, your house will be like your family. Your triumphs will earn you house points. Any rule breaking, and you will lose points. At the end of the year, the house with the most points is awarded the house cup",1,female
32,MCGONAGALL, The sorting ceremony will begin momentarily. {leaves},1,female
33,MCGONAGALL, We're ready for you now.,1,female
34,MCGONAGALL," All right, will you wait along here, please? Now, before we begin, Professor Dumbldedore would like to say a few words.",1,female
35,MCGONAGALL," When I call your name, you will come forth, I shall place the sorting hat on your head, and you will be sorted into your houses. Hermione Granger.",1,female
36,MCGONAGALL, Draco Malfoy.,1,female
37,MCGONAGALL, Susan Bones.,1,female
38,MCGONAGALL, Ronald Weasley.,1,female
39,MCGONAGALL, Harry Potter.,1,female
40,MCGONAGALL," {dings on a cup} Your attention, please.",1,female
41,MCGONAGALL," Thank you for that assessment, Mr. Weasley. Maybe if I were to transfigure Mr. Potter and yourself into a pocketwatch, maybe one of you would be on time.",1,female
42,MCGONAGALL, Then perhaps a map? I trust you don't need one to find your seats.,1,female
43,MCGONAGALL, {appears quickly} Harry Potter? Follow me. {Harry sullenly follows her. Draco and his goons laugh.},1,female
44,MCGONAGALL," Excuse me, excuse me, Professor Quirrell. Could I borrow Wood for a moment?",1,female
45,MCGONAGALL," Potter, this is Oliver Wood. Wood, I have found you a Seeker!",1,female
46,MCGONAGALL," Oh! Oh, my goodness! E-Explain yourselves, both of you!",1,female
47,MCGONAGALL, Ms. Granger?,1,female
48,MCGONAGALL," Be that as it may...it was an extremely foolish thing to do. {Harry looks at Snape's leg...which has a large cut on it. Snape notices and covers it up, glaring at Harry.} I would have expected more rational behaviour on your part, Ms. Granger. 5 points will be taken from Gryffindor for your serious lack of judgment. As for you two gentlemen I just hope you realize how fortunate you are. Not many students could take on a full grown mountain troll and live to tell the tale. 5 points...will be awarded to each of you. For sheer dumb luck. {Snape and McGonagall exit.}",1,female
49,MCGONAGALL, {Giggles happily},1,female
50,MCGONAGALL, Good evening.,1,female
51,MCGONAGALL," Nothing, I repeat, nothing gives a student the right to walk about the school at night. Therefore, as punishment for your actions, 50 points will be taken.",1,female
52,MCGONAGALL," Each. And to ensure it doesn't happen again, all four of you will receive detention.",1,female
