character,text,gender
BRODY, How come the sun didn't used to shine in here?,male
BRODY, Right.,male
BRODY, Probably out in the back yard.,male
BRODY," The kids are in the yahd, playing near the cah. How's that sound?",male
BRODY," Give me 30 years, I'll get it.",male
BRODY, Did you burn another kettle? Y'know you're a fire hazard? This is the third one!,male
BRODY, Feed the dogs.,male
BRODY, I used to wear this to the Garden. Garbage strikes. Dog shit. Muggers. Ship it.,male
BRODY, On the swing? I told you not to play near there until I sanded it down. See what your son did?,male
BRODY," Oh, yeah. How do I look? Older, huh?",male
BRODY," Sexy, hm? What was I before?",male
BRODY," I don't want to depend on these things, y'know -‚ sometimes you can weaken your eyes.",male
BRODY, Let's see...,male
BRODY," Brody... yeah, what's up... mmm... Well, what do they usually do, float or wash up? Really?... okay, I'll meet both of you at the beach in ...20 minutes, okay? Okay. First goddamn weekend of the summer.",male
BRODY, The office.,male
BRODY, Here? You gotta be kiddin'.,male
BRODY, Christine what?,male
BRODY, You picked her up on the ferry.,male
BRODY, And nobody else saw her in the water?,male
BRODY, Think she might've run out on you?,male
BRODY, You from around here?,male
BRODY, You here for the summer?,male
BRODY, What d'you pay for a place just for the summer?,male
BRODY, Pretty stiff.,male
BRODY," If this is going to work, you've got to keep current stuff out here, and put 'closed' files in there. The 'Pendings' stay on my desk, okay?",male
BRODY," Jesus, Santos.",male
BRODY," leans forward, staring at what he just wrote. Polly cocks her head and removes the phone from his ear.",male
BRODY," Polly, I want to know what water recreation is on for today.",male
BRODY, Where'd you hide the 'Beach Closed' signs?,male
BRODY," Call me later in the day, okay, Harry?",male
BRODY," Get out of there ‚ take these back to the office and make up some 'Beach Closed' signs, and let Polly do the printing.",male
BRODY, Do I need any more authority?,male
BRODY, Now tell me something I don't know.,male
BRODY, So we should set out a smorgasbord?,male
BRODY, What else could've done that?,male
BRODY," Doctor, you're the one who told me what it was!",male
BRODY, I was only reacting to what I was told.,male
BRODY, I can't work in a vacuum. Why don't you make Hendricks Chief? His family's been here since the Puritans -- half this island are his cousins.,male
BRODY, What?,male
BRODY, How's the water?,male
BRODY, Ow. He's gotta be more careful in the water...,male
BRODY, Michael! Sean! Out of the water. Everybody out of the water! Michael! Get out!,male
BRODY," Look, I've got to talk to her. This isn't a contest we want the whole country entering.",male
BRODY, I'm responsible for public safety around here...,male
BRODY, I'd like to tell you what we're doing so far. These are some of the steps I've taken as Chief of Police...,male
BRODY," I'll get to that in a minute. First, I plan to start our seasonal summer help early, and to use shark spotters on beaches open to the sea. I'd like cooperation from local fishermen, and I've also contacted the Oceanographic Institute over on the mainland.",male
BRODY, Larry and I have also decided to close the beaches for a short time.,male
BRODY, I didn't agree to that!,male
BRODY," his reading glasses reflecting a stack of twelve library books, all on the subject of sharks and shark attacks. The door opens and Ellen enters, quietly, in respect for Brody's mood.",male
BRODY, Love a cup of tea. With lemon.,male
BRODY, Where is he?,male
BRODY, Son! -- Out of the water now!,male
BRODY, I want him out of the ocean.,male
BRODY, Michael! Come inside!,male
BRODY," I told him not to go out until he memorized the handbook and the safety safety regulations, until he was sure of himself...",male
BRODY, That wasn't funny.,male
BRODY, Looks more like the readers of the National Enquirer.,male
BRODY, Hey! You know how many men that's supposed to hold?,male
BRODY, What you got ain't safe. You take some guys off or you don't go out.,male
BRODY," You going out too, Ben?",male
BRODY," Just back up! No, the other way! Cut it to your left! Your other left! The big boat, your front end is out way too far. Little boat, stay still!",male
BRODY, Thanks.,male
BRODY," If that's dynamite, give it here, or don't leave port.",male
BRODY, Hand it over.,male
BRODY," You're tellin' me. I swear, this town has gone crazy.",male
BRODY, Who are you?,male
BRODY, Let's show Mr. Hooper our accident.,male
BRODY," No, it was local jurisdiction.",male
BRODY," No, we just checked the beach...",male
BRODY, You did it! Did Ben Gardner catch this?,male
BRODY," Larry, if you'd see these clowns leave, you'd never believe they'd come back with anything. But they got him!",male
BRODY, Sure he is.,male
BRODY," Matt Hooper, the specialist they send down from the Oceanographic Institute.",male
BRODY, What d'ya mean?,male
BRODY," Why not, Larry? We could get a positive confirmation that way.",male
BRODY, She's right.,male
BRODY, I'm going home.,male
BRODY, C'mere and give Daddy a kiss.,male
BRODY, Because he needs it.,male
BRODY, Swell.,male
BRODY, How come you have to tell them that?,male
BRODY, Let's all have a drink.,male
BRODY," Drowning. Lemme ask you something. Is it true most attacks take place in three feet of water, around 10 feet from the beach?",male
BRODY, Something else. Do most attacks go unreported?,male
BRODY," There's a kind of a lone shark, called, uh...",male
BRODY, Yeah. Rogue. Picks out an area where there's food and hangs out there as long as the food supply lasts?,male
BRODY," And before 1900, when people first starting swimming for recreation, before public bathing and resorts, there were very few shark attacks, cause sharks didn't know what they were missing?",male
BRODY," Why don't we have one more drink, you and I, and then we go down and cut open that old shark and see for sure what's inside him, or not.",male
BRODY, I am Chief of Police. I can do anything I want. You want to come?,male
BRODY, What stinks so bad?,male
BRODY, What's that?,male
BRODY, What? What?!,male
BRODY, How can you tell?,male
BRODY, He ate a car?,male
BRODY, What do we do?,male
BRODY, Chum?,male
BRODY, What is all this stuff?,male
BRODY, Can you tell from that if a big man- eater is around?,male
BRODY, Where'd you get all this?,male
BRODY, You're at the Institute full time? Or do you have a job?,male
BRODY, We gotta get back soon...,male
BRODY, Hey!,male
BRODY, That's Ben Gardner's boat! It's the Flicka! Ben? Ben!,male
BRODY, What happened?,male
BRODY, Don't they have lifejackets or something? An extra boat?,male
BRODY, Why don't we just tow it in?,male
BRODY," Be careful, for chrissake.",male
BRODY, You all right?,male
BRODY, No shark did that to a boat!,male
BRODY, There is a kind of shark called a Great White Shark that every expert in the world agrees is a maneater.,male
BRODY," There's no limits to where he can strike, and we've had three attacks and two deaths in the past few days. It happened like this before, in when a Great White killed five swimmers at Jones Beach, in Long Island.",male
BRODY," A 4th of July beach is like ringing a dinner bell, for Chrissake!",male
BRODY," We towed Ben Gardner's boat in, Larry; he was dead and his boat was all chewed up.",male
BRODY, He lost it on the way up.,male
BRODY," We have got to close the beaches. We have got to get someone to kill the shark, we need non-corrosive mesh netting, we need scientific support... It's gonna cost money just to keep the nuts out and save what we have.",male
BRODY, That means closing the beaches.,male
BRODY, Wait a minute! I need you.,male
BRODY," Larry, we can re-open the beaches in August.",male
BRODY, What is this?,male
BRODY, I signed on the wrong line...,male
BRODY," I want to thank you guys from local agencies for cooperating, and I hope we won't actually be needing your services. But I'm glad to have you here.",male
BRODY," We're all on one channel, so let's keep radio traffic to a minimum, okay?",male
BRODY, I wish it would rain...,male
BRODY," I'm sorry, I just don't have the time.",male
BRODY, Hey Mikey -- !,male
BRODY, Do me this favor just once. Use the ponds.,male
BRODY, Just a favor for your old man.,male
BRODY," Everybody out! Out of the water, please -- leave the water, please --",male
BRODY, No whistles! No whistles!,male
BRODY, He's in shock. Get blankets!,male
BRODY, Here -- Take him home.,male
BRODY, No. Home here.,male
BRODY, There's only one thing you're good for anymore -- signing a damn voucher. Here. It's an authorization to employ a contractor.,male
BRODY, I'm going to hire Quint to kill the fish. I want to see that shark dead.,male
BRODY, Forget it. This summer's had it. Next summer's had it. You're the mayor of Shark City. You wanted to keep the beaches open. What happens when the town finds out about that?,male
BRODY, The best interest in this town would be to see that fish belly-up in the water with a hole in his head. You do the right thing. You authorize me. Right there. Whatever it costs.,male
BRODY," Just sign it, Larry.",male
BRODY, This has got to be one big violation...,male
BRODY, What?,male
BRODY, I'm authorized by the township of Amity to hire you as an independent contractor. We'll meet your price.,male
BRODY, You got it.,male
BRODY, You got it.,male
BRODY, You got it.,male
BRODY, Two cases. And dinner when you land.,male
BRODY, This is Matt Hooper...,male
BRODY, He's from the Oceanographic Institute.,male
BRODY, Hey. Knock it off. I don't want to have to listen to this while we're out there...,male
BRODY, It's my charter. My party.,male
BRODY, You got it.,male
BRODY," Colorful, isn't he?",male
BRODY, Nothing to worry about -- I'll survive this.,male
BRODY, Yo-ho-ho and a bottle of rum.,male
BRODY, Tell 'em I went fishin'!,male
BRODY, Who's driving the boat?,male
BRODY," Why are we way out here, when the shark's back there?",male
BRODY, You got it?,male
BRODY, The wire's showing!,male
BRODY, What's the point with hooks and Lines? --,male
BRODY, How -- if they're gonna keep on breaking?,male
BRODY, What do we do? Get some help? Radio in?,male
BRODY, Why don't we go in? Get another crack at him tomorrow.,male
BRODY, Let's call in -- we can radio and have a big boat here in an hour...,male
BRODY, C'mon. Middle appendix --,male
BRODY," What's that one, there?",male
BRODY," What's that, a ship?",male
BRODY, What the hell?,male
BRODY, Where...?,male
BRODY, The barrel!,male
BRODY, Shark! Starboard!,male
BRODY, That's it! Radio in for help!,male
BRODY," Yeah, Captain, as soon as I make a call.",male
BRODY," Some great idea! Now where are we? Some goddamn skipper you are. You're certifiable, y'know that? You're a real treat! Certifiable! Bananas!",male
BRODY, Did you get him in the head?,male
BRODY, I can't stand here doing nothing!,male
BRODY, What about us?,male
BRODY, Where'd he go?,male
BRODY, Have you ever had one do this?,male
BRODY," There! The barrels have surfaced and we see the monster shadow sliding under the Orca, seemingly endless. Violent scraping sounds.",male
BRODY, He's trying to sink us!,male
BRODY, He's chasing us! I,male
BRODY, You gotta go in the water...,male
BRODY, He's taken him!,male
BRODY, No... You think we can get back with those?,male
BRODY, What day is this?,male
BRODY, Think the tide's with us?,male
BRODY," Y'know, I used to hate the water...",male
ELLEN, 'cause when we bought the house it was Autumn. This is summer. Feed the dogs.,female
ELLEN, Do you see the kids?,female
ELLEN," In Amity, you say 'Yahd.'",female
ELLEN, Like you're from N'Yawk.,female
ELLEN, You want to go through those? I'm taking them to the Thrift Shop. It's Marcia Vaughn's pet charity. Pick out what you want to keep -- it's mostly your city clothes.,female
ELLEN, Don't be silly -‚ You're going to make summer better for them...,female
ELLEN, Go upstairs and bring Mommy a band- aid.,female
ELLEN, I think they make you look sexy.,female
ELLEN," Older, sillier.",female
ELLEN, There. What was that?,female
ELLEN, Be careful.,female
ELLEN, Hey Chief. Bring my cup back.,female
ELLEN, What about this kid? What if he were born here. That make him an islander?,female
ELLEN," Do you want the boys to come in? Honey, if you're worried...",female
ELLEN," You're very tight, y'know? Right there.",female
ELLEN, What is it...?,female
ELLEN, Can you stand something to eat?,female
