character,text,gender
WILLIAM," Of course, I've seen her films and always thought she was, well, fabulous -- but, you know, million miles from the world I live in. Which is here -- Notting Hill -- not a bad place to be...",male
WILLIAM," There's the market on weekdays, selling every fruit and vegetable known to man...",male
WILLIAM, The tattoo parlor -- with a guy outside who got drunk and now can't remember why he chose 'I Love Ken'...,male
WILLIAM," The racial hair-dressers where everyone comes out looking like the Cookie Monster, whether they like it or not...",male
WILLIAM," Then suddenly it's the weekend, and from break of day, hundreds of stalls appears out of nowhere, filling Portobello Road right up to Notting Hill Gate...",male
WILLIAM," ... and thousands of people buy millions of antiques, some genuine...",male
WILLIAM, ... and some not so genuine.,male
WILLIAM," And what's great is that lots of friends have ended up in this part of London -- that's Tony, architect turned chef, who recently invested all the money he ever earned in a new restaurant...",male
WILLIAM," So this is where I spend my days and years -- in this small village in the middle of a city -- in a house with a blue door that my wife and I bought together... before she left me for a man who looked like Harrison Ford, only even handsomer...",male
WILLIAM, ... and where I now lead a strange half-life with a lodger called...,male
WILLIAM," And so it was just another hopeless Wednesday, as I set off through the market to work, little suspecting that this was the day which would change my life forever.  This is work, by the way, my little travel book shop...",male
WILLIAM," ... which, well, sells travel books -- and, to be frank with you, doesn't always sell many of those.",male
WILLIAM, Spike!,male
WILLIAM," This is important in comparison to, let's say, whether they should cancel third world debt?",male
WILLIAM, What are the choices?,male
WILLIAM, Yes -- might make it hard to strike a really romantic note.,male
WILLIAM, Yes -- she might think you don't have true love on your mind.,male
WILLIAM," Well, yes, that's perfect. Well done.",male
WILLIAM, Good luck.,male
WILLIAM, Classic.  Absolutely classic. Profit from major sales push -- minus 347 pound.,male
WILLIAM," Yes, better get me a half.  All I can afford.",male
WILLIAM, Can I help you?,male
WILLIAM, Fine.,male
WILLIAM," That book's really not good -- just in case, you know, browsing turned to buying.  You'd be wasting your money.",male
WILLIAM, Yes.  This one though is... very good.,male
WILLIAM," I think the man who wrote it has actually been to Turkey, which helps. There's also a very amusing incident with a kebab.",male
WILLIAM, If you could just give me a second.,male
WILLIAM, Excuse me.,male
WILLIAM, Bad news.,male
WILLIAM, We've got a security camera in this bit of the shop.,male
WILLIAM," So, I saw you put that book down your trousers.",male
WILLIAM, The one down your trousers.,male
WILLIAM," Right -- well, then we have something of an impasse.  I tell you what --I'll call the police -- and, what can I say?  If I'm wrong about the whole book-down-the-trousers scenario, I really apologize.",male
WILLIAM," Well, ideally, when I went back to the desk, you'd remove the Cadogan guide to Bali from your trousers, and either wipe it and put it back, or buy it.  See you in a sec.",male
WILLIAM, Sorry about that...,male
WILLIAM," Yes, we couldn't stop him.  If you can find an unsigned copy.  It's worth an absolute fortune.",male
WILLIAM, Oh -- right -- on second thoughts maybe it wasn't that bad. Actually -- it's a sort of masterpiece really. None of those childish kebab stories you get in so many travel books these days.  And I'll throw in one of these for free.,male
WILLIAM," Very useful for fighting fires, wrapping fish, that sort of things.",male
WILLIAM, Thanks.  I don't think you'll believe who was just in here.,male
WILLIAM, No. No-one -- no-one.,male
WILLIAM, Topol.,male
WILLIAM, But Ringo Starr doesn't look anything like Topol.,male
WILLIAM, So it would have been neither of them?,male
WILLIAM," Right.  It's not a classic anecdotes, is it?",male
WILLIAM, Right -- want another one?,male
WILLIAM," Here, let me help.",male
WILLIAM," Nothing, nothing... Look, I live just over the street -- you could get cleaned up.",male
WILLIAM, I also have a phone.  I'm confident that in five minutes we can have you spick and span and back on the street again... in the non- prostitute sense obviously.,male
WILLIAM, Eighteen yards.  That's my house there.,male
WILLIAM, Come on in.  I'll just...,male
WILLIAM," It's not that tidy, I fear.",male
