,character,text,number,types,is_character
913,BRIDGET, You must be Mr. Harris' niece.,1,female,True
914,BRIDGET," What's your name, dear?",1,female,True
915,BRIDGET," Well, the mini—skirt is dead, Vivian. I don't care how many designers try to bring it back, it's dead.  Goodness, you look a like a streetwalker in that. Let's find you something else.  Come on.",1,female,True
916,BRIDGET," Where are you from, dear?",1,female,True
917,BRIDGET, No wonder.  How about this?,1,female,True
918,BRIDGET, Like a pastel?,1,female,True
919,BRIDGET, These should fit.,1,female,True
920,BRIDGET, Don't you like the dress?,1,female,True
921,BRIDGET," Then we'll just have to change you, won't we?  We have a salon on the third floor. You can get your hair, nails and make-up done a tad more conservatively.",1,female,True
922,BRIDGET, Of course.  By the time you get back to Nebraska they'll think you were born in Beverly Hills.  Ask for Thane.,1,female,True
923,BRIDGET, There we go.  Take a breath.,1,female,True
924,BRIDGET, Your uncle will like this.,1,female,True
925,BRIDGET, They never are.,1,female,True
1036,CARL, … and we want to continue to do business with you but the M & A market is changing.  People have been scared off by the negative press on high yield bonds.  And with the upswing in inflation we have to make these offerings more tempting to offset increased risks.,1,male,True
1037,CARL, Then go to a bank.,1,male,True
1038,CARL, Not yet.,1,male,True
1039,CARL," Bill, if you're going to liquidate the company that quickly why is eighteen such a problem…",1,male,True
1040,CARL, As far as I can tell you're already there.  You've got a fifteen percent situation in a troubled stock and you need to make a bid.  I don't think there's anywhere else you can go for the money in the time you have.,1,male,True
1088,CHUCK, You're sure a good looking piece.,1,male,True
1089,CHUCK," Let me see what you go under there, honey.",1,male,True
1080,DESK CLERK, You may use this phone.,1,NaN,True
1081,DESK CLERK," Everything is taken care of, sir.",1,NaN,True
464,EDWARD, How do I get to Wilshire Boulevard?,1,male,True
465,EDWARD, I'm lost.  How do I get to Wilshire?,1,male,True
466,EDWARD," Actually, I just want directions.",1,male,True
467,EDWARD, I can see that.  But perhaps you'd make an exception.,1,male,True
468,EDWARD, A bargain.,1,male,True
469,EDWARD, All I have is a twenty…,1,male,True
470,EDWARD, How do I get to Wilshire?,1,male,True
471,EDWARD," You're a lovely young lady, but I'm not in the habit of picking up girls off the street.  Now…",1,male,True
472,EDWARD, You're a very persuasive woman. It happens that I am alone tonight…,1,male,True
473,EDWARD, A hundred dollars.  For the whole night?,1,male,True
474,EDWARD," You're quite a negotiator.  Alright.  I can't believe I'm doing this, but climb in.",1,male,True
475,EDWARD, It's rented.,1,male,True
476,EDWARD, Edward.  What's your's?,1,male,True
477,EDWARD, I'm staying in a hotel in Beverly Hills.,1,male,True
478,EDWARD, New York.,1,male,True
479,EDWARD, It's alright.  Are you going to tell me how to get to Wilshire?,1,male,True
480,EDWARD, Business.,1,male,True
481,EDWARD, You certainly ask a lot of questions.,1,male,True
482,EDWARD," Listen, my overcoat's in the back seat. Why don't you put it on?",1,male,True
483,EDWARD, Let's just say you're a little over— dressed for this hotel.,1,male,True
484,EDWARD, It's not the kind of place that rents rooms by the hour.,1,male,True
485,EDWARD," Perhaps so.  But if this hotel has any hookers, they don't look like they're…",1,male,True
486,EDWARD, Exactly.,1,male,True
487,EDWARD, Penthouse.,1,male,True
488,EDWARD, Room Service….  I'd like a bottle of the house champagne and a bowl of chilled strawberries sent to my room. Thank you.,1,male,True
489,EDWARD, Nice view?,1,male,True
490,EDWARD, I've impressed you?,1,male,True
491,EDWARD, Very good.,1,male,True
492,EDWARD," As I recall, you where the one that picked me up.",1,male,True
493,EDWARD, It started to seem like a good idea.,1,male,True
494,EDWARD," Cruising?  Hmmm.  Well, I don't get to drive a lot in New York, so I thought it would be interesting to tool around and admire some of the local architecture.  I was sightseeing the Chinese Theater when I got lost and ran into you…",1,male,True
495,EDWARD, That should be the champagne.,1,male,True
496,EDWARD, That'll be fine.,1,male,True
497,EDWARD, I think he wanted you to tip him.,1,male,True
498,EDWARD, I'm afraid so.,1,male,True
499,EDWARD, Both.  This is the house brand.  I didn't think you'd mind.,1,male,True
500,EDWARD," More questions.  My wife divorced me years ago and is in Europe I believe, spending my money.  My girlfriend is in New York… spending my money.  Cheers.",1,male,True
501,EDWARD, I wish I could.  But I've got a liver problem.  I can't have any alcohol.,1,male,True
502,EDWARD, No.  I just like the smell.  Fond memories. How do you like it?,1,male,True
503,EDWARD, No.  Not tobacco or otherwise.,1,male,True
504,EDWARD, Try a strawberry.  It'll bring out the sweetness of the champagne.,1,male,True
505,EDWARD, Better?,1,male,True
506,EDWARD, I don't know.  Just being difficult.,1,male,True
507,EDWARD, You put it very well.  I'm a professional man and I'd like to find a professional woman.  Any more questions?,1,male,True
508,EDWARD, How about the bedroom?,1,male,True
509,EDWARD, Oh… yes.,1,male,True
510,EDWARD, I see.  I suppose you can't be too safe about that kind of thing.,1,male,True
511,EDWARD, What are you doing?,1,male,True
512,EDWARD, You could hang them in the closet.,1,male,True
513,EDWARD, Hey.  Slow down.  I thought we had the whole night.,1,male,True
514,EDWARD," Well, then I'm not like most guys.",1,male,True
515,EDWARD, Sorry.  What do you like?,1,male,True
