character,text,gender
GORDON," Harvey Dent was needed. He was everything Gotham has been crying out for. He was...a hero. Not the hero we deserved - the hero we needed. Nothing less than a knight, shining...",male
GORDON, But I knew Harvey Dent. I was...his friend. And it will be a very long time before someone inspires us the way he did. I believed in Harvey Dent.,male
GORDON, Congressman.,male
GORDON," Maybe the truth about Harvey isn’t so simple, Congressman.",male
GORDON, The truth...? I have written a speech telling the truth about Harvey Dent... Maybe the time isn’t right...,male
GORDON," Maybe right now all you need to know is that there are a thousand inmates in Blackgate Prison as a direct result of the Dent Act. These are violent criminals, essential cogs in the organized crime machine that terrorized Gotham for so long. Maybe, for now, all I should say about Harvey Dent’s death is this...it has not been for nothing.",male
GORDON, The second shift reports in?,male
GORDON, That’s your department.,male
GORDON," What’s the problem, son?",male
GORDON, That’s a job for the police?,male
GORDON, Old habits.,male
GORDON," What’s your name, son?",male
GORDON," You have something you want to ask me, Officer Blake?",male
GORDON, What about it?,male
GORDON," I’m not hearing a question, son.",male
GORDON, I know exactly who he was. (Turns to Blake.) He was Batman.,male
GORDON, Manhole!,male
GORDON," You three, down with me. You two, head down to cover the next exit -",male
GORDON," Get the DWP down here, now!",male
GORDON, We were in this together. Then you were gone...,male
GORDON, Built on a lie. Our lie. Now there’s evil rising from where we tried to bury it. Nobody will listen... The Batman has to come back.,male
GORDON, He must. He must.,male
GORDON, Why?,male
GORDON, Where did you get to with the tunnel searches?,male
GORDON," Get more men, work a grid. I want him found.",male
GORDON, This is good work. Lose the uniform - you’re working for me now. We could use some hotter heads around here.,male
GORDON," You’re a detective now, son, you’re not allowed to believe in coincidence anymore.",male
GORDON, So you think our friend is gone again?,male
GORDON, What’s happened?,male
GORDON," No more patrols, no more hide and seek. Send every available cop down there to smoke him out.",male
GORDON, Don’t apologize for believing the world’s in better shape then it is...just fight to make it true.,male
GORDON," Not you. You’re telling me the Batman’s gone. So you chase up the Daggett leads, any way you can.",male
GORDON, But you know about patterns. Keep looking. finishes his work. Turns to Bane.,male
GORDON," Get my coat, son.",male
GORDON, It means we’re on our own. I have to get in front of a camera -,male
GORDON, The Mayor’s dead. I’m the symbol of law and order. Bane says he’s giving Gotham back to the people - they need to know that I could lead.,male
GORDON, Then he’ll show his true colors.,male
GORDON," A lie to keep a city from burning to the ground. Gotham needed a hero, someone to believe in -",male
GORDON," There’s a point. Far out there. When the structures fail you. When the rules aren’t weapons anymore, they’re shackles, letting the bad get ahead. Maybe one day you’ll have such a moment of crisis. And in that moment, I hope you have a friend like I did. To plunge their hands into the filth so you can keep yours clean.",male
GORDON," Captain, glad to have you here.",male
GORDON, Dozens. I’d rather not say exactly. But the men trapped underground number almost three thousand.,male
GORDON," They’ve been getting water, food.",male
GORDON, No leads. It’s a bluff - Bane wouldn’t give control of that bomb to someone else.,male
GORDON," Captain, things are more complicated than you think. There’s somebody you need to meet. Blake?",male
GORDON," Where the hell are they? It’s not like we have a lot of time, here.",male
GORDON, The bomb goes off tomorrow. We’ve got about eighteen hours to do something.,male
GORDON," We mark that truck. Get a GPS on it, then we can start thinking about how to take it down.",male
GORDON, That’s it?,male
GORDON," Foley. Where’s Foley, dammit?!",male
GORDON, You’re sending your wife to the door when the city’s under occupation?!,male
GORDON," What did you do, bury your uniform in the backyard?",male
GORDON, You forgotten all the years we went out on patrol with every gangbanger wanting to plant one as soon as our backs were turned?,male
GORDON, Deal?! Bane’s got their balls in a vice. That’s not a deal -,male
GORDON, You think he’s given control of that bomb to one of ’the people’?! You think this is part of some revolution? There’s one man with his finger on the button - Bane.,male
GORDON," This only gets fixed from inside the city, Foley. (Calmer.) Look, I’m not asking you to walk down Grand in your dress blues. But we’ve got to do something before this maniac blows us all to hell.",male
GORDON," Keep your head down? What’s that gonna do tomorrow, when that thing blows?",male
GORDON," Miss take, I can’t ask you -",male
GORDON, Bruce Wayne built it.,male
GORDON, Let’s go.,male
GORDON," Stay further up the block. (Points at Men.) They’re gonna cross the street and try and slow the truck down. As it approaches, hit this button. If the needle hits two hundred - give me the signal and I mark the truck. Okay?",male
GORDON, Got it.,male
GORDON, On whose authority?,male
GORDON," No lawyer, no witnesses. What sort of due process is this?",male
GORDON," Crane, if you think we are going willingly out onto that ice, you’ve got another think coming.",male
GORDON, Looks that way.,male
GORDON, When what starts?,male
GORDON," Come on, come on...",male
GORDON, That’s impossible... Come on! Cut over to Fifth!,male
GORDON," Give me a hand! Let’s get a cable on it and drag it out! Come on, we’re almost there -",male
GORDON, What’re you doing?,male
GORDON," So this is the part where you vanish, only this time you don’t come back?",male
GORDON, I never cared who you were -,male
GORDON, But shouldn’t the people know the hero who saved them?,male
GORDON, Bruce Wayne?,male
GORDON," ’I see that I hold a sanctuary in their hearts, and in the hearts of their descendants, generations hence. It is a far, far better thing that I do, than I have ever done...’ ’It is a far, far better rest that I go to than I have ever known.’",male
GORDON, Can I change your mind about quitting the force?,male
GORDON, They know. (Off look.) It was Batman.,male
BANE, Who we are does not matter. What matters is our plan.,male
BANE, It would be extremely painful.,male
BANE, For you.,male
BANE, Of course. Dr. Pavel refused our offer in favor of yours. We had to know what he told you about us.,male
BANE, He would not have told us.,male
BANE," Him, I need healthy. You present no such problem.",male
BANE, Crashing this plane...,male
BANE, With no survivors.,male
BANE, Friend. They expect one of us in the wreckage.,male
BANE, The fire rises.,male
BANE," Calm, Doctor. Now is not time for fear...",male
BANE, That comes later.,male
BANE, Why are you here?,male
BANE, I’m asking you.,male
BANE, And you brought him down here?,male
BANE, You panicked. And your weakness costs three lives.,male
BANE, Search him. Then I will kill you.,male
BANE, Then show me his body.,male
BANE, Give me your GPS.,male
BANE, Follow him.,male
BANE, Track him. Make sure both bodies will not be found. Then brick up the south tunnel.,male
BANE, Why else would you people be here?,male
BANE, Enter your password. Or I send these men to your home.,male
BANE, For now. How much longer does the program need?,male
BANE, Time to go mobile.,male
BANE, ...and he shall appear.,male
BANE, The plan is proceeding as expected.,male
BANE, Leave us.,male
BANE, Do you feel in charge?,male
BANE, And that gives you power over me?,male
BANE, Your money and infrastructure have been important. Till now.,male
BANE, Gotham’s reckoning. Come to end the borrowed time you’ve all been living on...,male
BANE, I am necessary evil.,male
BANE," Let’s not stand on ceremony here, Mr. Wayne.",male
BANE, Peace has cost you strength. Victory has defeated you.,male
BANE, Theatricality and deception are powerful agents...to the uninitiated.,male
BANE," But we are initiated, aren’t we, Bruce? The League of Shadows. And you betrayed us...",male
BANE," Now I am the Legue of Shadows, here to fulfill Ra’s al Ghul’s destiny...",male
BANE, You fight like a younger man. Nothing held back. No reserves. Admirable. But mistaken.,male
BANE, You think darkness is your ally. But you merely adopted the dark. I was born in it. Formed by it...,male
BANE, I didn’t see the light until I was already a man. And by then it was nothing to me but blinding...,male
BANE," The shadows betray you, because they belong to me...",male
BANE, I will show you where I’ve made my home while preparing to bring justice. Then...I will break you.,male
BANE, Your precious armory. Gratefully accepted. We will need it.,male
BANE, I wondered which would break first - your spirit... ...or your body.,male
BANE, You don’t fear death. You welcome it. Your punishment is to be more severe.,male
