,character,text,number,types
980,ANTHONY," Can I hold it, please? Yeah, I will take care...",1,male
981,ANTHONY, Can I water these?,1,male
982,ANTHONY, Give me orange...,1,male
983,ANTHONY, See where are you? Get down!,1,male
984,ANTHONY, I love you... Uh...uh...uh...uh...uh...uh...ouch!,1,male
948,APOLLONIA, Grazie.,1,female
949,APOLLONIA, I know English... Monday...Tuesday...Thursday...Wednesday... Friday...Sunday...Saturday... Andiamo! Andiamo!,1,female
950,APOLLONIA, Come on! Let's go! Let's go!,1,female
951,APOLLONIA," Michael is teaching me to drive - watch, I'll show you.",1,female
952,APOLLONIA," Michele...Michele, Let's go... let's go... you promised me.",1,female
953,APOLLONIA," Michele, wait there! I'll drive to you...",1,female
960,BARZINI, We're all grateful to Don Corleone for calling this meeting. We all know him as a man of his word...a modest man...he'll always listen to reason...,1,male
961,BARZINI," Times have changed. It's not like the Old Days when we can do anything we want. A refusal is not the act of a friend. If Don Corleone had all the judges, and the politicians in New York, then he must share them, or let us others use them. He must let us draw the water from the well. Certainly he can present a bill for such services; after all we are not Communists.",1,male
962,BARZINI," Then we are agreed. The traffic in drugs will be permitted, but controlled and Don Corleone will give up protection in the East and there will be the peace.",1,male
963,BARZINI," Look, we are all reasonable men here; we don't have to give assurances as if we were lawyers...",1,male
0,BONASERA," I believe in America. America has made my fortune. And I raised my daughter in the American fashion. I gave her freedom, but I taught her never to dishonor her family. She found a boyfriend; not an Italian. She went to the movies with him; she stayed out late. I didn't protest. Two months ago, he took her for a drive, with another boyfriend. They made her drink whiskey. And then they tried to take advantage of her. She resisted. She kept her honor. So they beat her, like an animal. When I went to the hospital, her nose was a'broken. Her jaw was a'shutted, held together by wire. She couldn't even weep because of the pain. But I wept. Why did I weep? She was the light of my life ... beautiful girl. Now she will never be beautiful again.",1,male
1,BONASERA, Sorry...,1,male
2,BONASERA," I-I went to the police, like a good American. These two boys were brought to trial. The judge sentenced them to three years in prison ... suspended sentence. Suspended sentence! They went free that very day! I stood in the courtroom like a fool. And those two bastard, they smiled at me. Then I said to my wife, ""for justice, we must go to Don Corleone.""",1,male
3,BONASERA, What do you want of me? Tell me anything. But do what I beg you to do.,1,male
4,BONASERA, I'll give you anything you ask.,1,male
