,character,text,gender
0,AIBILEEN," I was born in 1911...Chickasaw County, Piedmont Plantation.",female
1,AIBILEEN," Yes, ma'am. I did.",female
2,AIBILEEN, My momma was a maid.  My grandmomma was a house slave.,female
3,AIBILEEN, It feel...,female
4,AIBILEEN, Hi!,female
5,AIBILEEN," Oh, Baby Girl.",female
6,AIBILEEN, You is kind.  You is smart.  You is important.,female
7,AIBILEEN," Oh, that's so good. That's so good.",female
8,AIBILEEN," Ooh, Mae Mobley.",female
9,AIBILEEN," Yes, ma'am.",female
10,AIBILEEN," I reckon when you finish, it won't.",female
11,AIBILEEN, It took God and Minny to get me through it.  Minny my best friend.,female
12,AIBILEEN, You drunk up two glasses of grape juice. I know you got to tee-tee.,female
13,AIBILEEN, I'll give you two cookies if you go.,female
14,AIBILEEN, Hold on!  Those are Miss Hilly's.,female
15,AIBILEEN, Gots to have paprika on them.,female
16,AIBILEEN, Did she?,female
17,AIBILEEN," Miss Leefolt got so much hair spray, she gone blow us all up if she light a cigarette.",female
18,AIBILEEN, You know I do.,female
19,AIBILEEN, Leefolt residence.,female
20,AIBILEEN, She havin' bridge club right now. May I take a message?,female
21,AIBILEEN," Yes, ma'am.",female
22,AIBILEEN," No, ma'am.",female
23,AIBILEEN, Miss Celia Foote called again.,female
24,AIBILEEN," Yes, ma'am.",female
25,AIBILEEN, Miss Myrna get it wrong a lot of times.  Be good to get it right.,female
26,AIBILEEN," Yes, ma'am, it is.",female
27,AIBILEEN, I knew Constantine.  We were in church circle together.,female
28,AIBILEEN," No, ma'am.",female
29,AIBILEEN, Quit?,female
30,AIBILEEN," Shoot, that's easy.  You tell her hold a matchstick between her teeth.",female
31,AIBILEEN," No, ma'am.",female
32,AIBILEEN, You know what'd happen if Miss Leefolt knew I was tellin' stories on her?,female
33,AIBILEEN, Other maids?,female
34,AIBILEEN," Baby.  It's okay.  Aibee's here, honey.  Aibee's here.",female
35,AIBILEEN," I'm right here, Baby Girl.",female
36,AIBILEEN," Yes, Ma'am.",female
37,AIBILEEN, Minny?,female
38,AIBILEEN, Where you headed?,female
39,AIBILEEN, Don't worry about her.  She's always mad about something.,female
40,AIBILEEN," Yes, ma'am.  Everything okay?",female
41,AIBILEEN," You got some more ""Miss Myrna"" questions for me?",female
42,AIBILEEN," Yes, ma'am.",female
43,AIBILEEN, They set my cousin Shinelle's car on fire just cause she went down to the voting station.,female
44,AIBILEEN," 'Cause they's a reason. I do this with you, I might as well burn my own house down.",female
45,AIBILEEN," This already ain't careful, Miss Skeeter!  You not knowing that is what scare me the most.  Scare me more than ""Jim Crow"".",female
46,AIBILEEN," No, Ma'am.",female
