character,text,gender
ALAN TURING, Are you paying attention?,male
ALAN TURING," Good. This is going to go very quickly now. If you are not listening carefully, you will miss things. Important things. You’re writing some of this down? That’s good. - someone has given it a pretty thorough once-over.",male
ALAN TURING," I will not pause, I will not repeat myself, and you will not interrupt me. If you ask me a question, I will ignore it. You think that because you’re sitting where you are, and I am sitting where I am, that you are in control of what is about to happen. You’re mistaken. I am in control, because I know things that you do not know.",male
ALAN TURING," What I will need from you now is a commitment. You will listen closely, and you will not judge me.",male
ALAN TURING," When I am finished — when I have told you that I am finished — you are free to think whatever you like. But until then, you will trust that while this story will be hard for you to understand, everything I am saying I am saying for a reason.",male
ALAN TURING," If you cannot commit to this, then please leave the room. That’s right, you’re the one who’s free to go. But if you choose to stay, if you choose to listen, remember this: If things happen that you do not like, you chose to be here.",male
ALAN TURING, What happens from this moment forward is not my responsibility: It’s yours.,male
ALAN TURING, This will go quite fast now. And that is the last time I will repeat myself. Pay attention.,male
ALAN TURING," — I would step back, if I were you.",male
ALAN TURING," Step back, and don’t breathe so much.",male
ALAN TURING, You’re breathing heavily and you’re going to inhale this junk and you’re going to leave your collicky son without a father.,male
ALAN TURING, Sound carries in this house.,male
ALAN TURING, Cyanide. Undiluted. Wouldn’t take more than a thimbleful to kill you.,male
ALAN TURING, Oh. Disappointing.,male
ALAN TURING, I’d hoped for a bit more.,male
ALAN TURING," You lied to your friend here about your son, which is just unseemly. Collick didn’t keep you up all night. Drink did. You’ve bags under your eyes the size of strawberries. Your topcoat reeks of whiskey. You’re short of breath after walking Manchester United had a match yesterday, yes? I could hear the shouting from Simpson’s on my way home.",male
ALAN TURING," Gentlemen, I don’t think you could figure out who broke into my house if he walked up and spat in your face. What I could really use at the moment is not a bobby but a good cleaning lady. So unless one of you has an apron in your car, I’d suggest that you file your reports and leave me alone.",male
ALAN TURING, The girl told me to wait —,male
ALAN TURING, No. She didn’t.,male
ALAN TURING, Was she supposed to?,male
ALAN TURING, Alan Turing.,male
ALAN TURING, Correct.,male
ALAN TURING, You didn’t. It was written on your paper.,male
ALAN TURING," I’m not sure I can evaluate that, Mr...",male
ALAN TURING, 27.,male
ALAN TURING, 24.,male
ALAN TURING, 23.,male
ALAN TURING," Rather depends on how old my peers were when they did comparable work, doesn’t it?",male
ALAN TURING, Newton discovered the binomial theorem at four papers that changed the world at 26. As far as I can tell I’ve barely made par.,male
ALAN TURING, Would you prefer I make a joke?,male
ALAN TURING," It hardly seems fair that that would be a requirement for employment here, Mr...?",male
ALAN TURING," Oh, I don’t, really.",male
ALAN TURING, I’m agnostic about violence.,male
ALAN TURING, Politics is not my area of expertise.,male
ALAN TURING, Mother says that I can be off- putting sometimes. On account of being the best mathematician in the world.,male
ALAN TURING, Oh. Yes.,male
ALAN TURING, No.,male
ALAN TURING, I don’t speak German.,male
ALAN TURING, I don’t. Speak German.,male
ALAN TURING, I’m quite excellent at crossword puzzles.,male
ALAN TURING, The German codes are a puzzle. A game. Just like any other game.,male
ALAN TURING, I’m very good at games. Puzzles. And I think this is the hardest puzzle in the world.,male
ALAN TURING," I’m afraid I can’t make jokes, Commander Denniston.",male
ALAN TURING, Enigma.,male
ALAN TURING, ... That’s what you’re doing here. The top secret program at Bletchley. You’re trying to break the German Enigma machine.,male
ALAN TURING," It’s the greatest encryption device in history, and the Germans use it for all major communications.",male
ALAN TURING, Goody! Let me try and we’ll know for sure.,male
ALAN TURING, It’s beautiful.,male
ALAN TURING," — It’s not that simple, is it? Just having an Enigma machine doesn’t help you decode the messages.",male
ALAN TURING, Five rotors. Six plugboard cables. That’s...,male
