character,text,gender
D.A.," Mr. Dufresne, describe the confrontation you had with your wife the night she was murdered.",male
D.A., Samuel Norton? We have a warrant for your arrest! Open up!,male
ANDY," It was very bitter. She said she was glad I knew, that she hated all the sneaking around. She said she wanted a divorce in Reno.",male
ANDY, I told her I would not grant one.,male
ANDY, If they say so. I really don't remember. I was upset.,male
ANDY, She packed a bag and went to stay with Mr. Quentin.,male
ANDY," I went to a few bars first. Later, I decided to drive to Mr. Quentin's home and confront them. They weren't there...so I parked my car in the turnout...and waited.",male
ANDY, I'm not sure. I was confused. Drunk. I think mostly I wanted to scare them.,male
ANDY, Yes. I did.,male
ANDY, No. I was sobering up. I realized she wasn't worth it. I decided to let her have her quickie divorce.,male
ANDY," I did not. I got back in the car and drove home to sleep it off. Along the way, I stopped and threw my gun into the Royal River. I feel I've been very clear on this point.",male
ANDY, Yes. It does.,male
ANDY, Yes. It does.,male
ANDY, Strike me as a fantastic coincidence.,male
ANDY, It's the truth.,male
ANDY," Since I am innocent of this crime, sir, I find it decidedly inconvenient the gun was never found.",male
ANDY, Hadn't planned on it.,male
ANDY, What was his name?,male
ANDY, I was wondering if anyone knew his name.,male
ANDY, Hello. I'm Andy Dufresne.,male
ANDY, How do you know that?,male
ANDY," I didn't, since you ask.",male
ANDY, What else have you heard?,male
ANDY, What do you think?,male
ANDY, I understand you're a man who knows how to get things.,male
ANDY, I wonder if you could get me a rock- hammer?,male
ANDY, You make your customers' motives a part of your business?,male
ANDY," Fair enough. A rock-hammer is about eight or nine inches long. Looks like a miniature pickaxe, with a small sharp pick on one end, and a blunt hammerhead on the other. It's for rocks.",male
ANDY," Quartz, sure. And look. Mica. Shale. Silted granite.",male
ANDY," I'm a rockhound. At least I was, in my old life. I'd like to be again, on a limited scale.",male
ANDY, I have no enemies here.,male
ANDY, Tell me something. Would it help if I explained to them I'm not homosexual?,male
ANDY, Thanks for the advice.,male
ANDY," If there's trouble, I doubt a rock- hammer will do me any good.",male
ANDY, You'll know when you see the rock- hammer.,male
ANDY, Seven dollars in any rock and gem shop.,male
ANDY, Ten it is.,male
ANDY, Oh?,male
ANDY," I understand. Thank you, Mr...?",male
ANDY, Red. I'm Andy. Pleasure doing business with you.,male
ANDY," You get this in your eyes, it blinds you.",male
ANDY, Mr. Hadley. Do you trust your wife?,male
ANDY," What I mean is, do you think she'd go behind your back? Try to hamstring you?",male
ANDY," Because if you do trust her, there's no reason in the world you can't keep every cent of that money.",male
ANDY," If you want to keep that money, all of it, just give it to your wife. See, the IRS allows you a one-time- only gift to your spouse. It's good up to sixty thousand dollars.",male
ANDY, Tax free. IRS can't touch one cent.,male
ANDY," It's perfectly legal. Go ask the IRS, they'll say the same thing. Actually, I feel silly telling you all this. I'm sure you would have investigated the matter yourself.",male
ANDY," Of course not. But you will need somebody to set up the tax-free gift, and that'll cost you. A lawyer, for example...",male
ANDY," ...or come to think of it, I suppose I could set it up for you. That would save you some money. I'll write down the forms you need, you can pick them up, and I'll prepare them for your signature... nearly free of charge. I'd only ask three beers apiece for my co-workers, if that seems fair.",male
ANDY, I think a nan working outdoors feels more like a man if he can have a bottle of suds. That's only my opinion.,male
ANDY, No thanks. I gave up drinking.,male
ANDY, Chess. Now there's a game of kings. Civilized...strategic...,male
ANDY, Maybe you'll let me teach you someday. I've been thinking of getting a board together.,male
ANDY," We might do business on a board. But the pieces, I'd like to carve those myself. One side done in quartz... the opposing side in limestone.",male
ANDY, Years I've got. What I don't have are the rocks. Pickings here in the exercise yard are pretty slim.,male
ANDY, Not yet. I suppose I should.,male
ANDY, I suppose we are.,male
ANDY," I'm innocent, remember? Just like everybody else here.",male
ANDY, Innocent?,male
ANDY, I know. I've seen it three times this month already.,male
ANDY, Rita Hayworth. Can you get her?,male
ANDY, Weeks?,male
ANDY, I know. I've seen it three times this month already.,male
ANDY, Rita Hayworth. Can you get her?,male
ANDY, Weeks?,male
ANDY, They'd never hear me over that. Let's get this over with.,male
ANDY, Okay.,male
ANDY," Anything you put in my mouth, you're going to lose.",male
