,character,text,number,types,is_character
0,ANATOLY, We are here.,1,male,True
1,ANATOLY, Do  you  see it?  I don't  see  it... there!,1,male,True
2,ANATOLY, Is estealing from the dead.,1,male,True
3,BODINE, Come  left a little.  She's right  in front Fifteen.  Thirteen... you should  see it.,1,male,True
4,BODINE," You are so full of shit, boss.",1,male,True
5,BODINE, I'm tryin' boss.,1,male,True
6,BODINE," Ooohh  daddy-oh, are you seein'  what I'm seein'?",1,male,True
7,BODINE, Who's the best?  Say it.,1,male,True
8,BODINE," You  know,  boss,  this  happened  to Geraldo",1,male,True
9,BODINE, She's  a  goddamned liar!  A nutcase. Like  that... what's her  name?  That Anastasia babe.,1,male,True
10,BODINE," She  says  she's Rose DeWitt Bukater, right?",1,male,True
11,BODINE," Okay,  so  she's a very old goddamned liar. 20's...  she was working  as  an actress in  L.A.  An  actress. Rose  Dawson. guy named Calvert,  moved to  Cedar Rapids, had two kids. dead, and from  what  I've heard Cedar Rapids is dead.",1,male,True
12,BODINE," S'cuse  me,  I have to go  check  our supply of Depends.",1,male,True
13,BODINE, You don't want anything?,1,male,True
14,BODINE," Live from 12,000 feet.",1,male,True
15,BODINE," The  bow's struck in the bottom  like an axe, from the impact.  Here...  I can run a simulation we worked up  on this monitor over here.",1,male,True
16,BODINE, We've largest,1,male,True
17,BODINE," She  hits  the berg on the  starboard side  and  it sort of bumps  along... punching  holes like a morse  code... dit dit  dit,  down the  side. flooding in the",1,male,True
18,BODINE," The  bow  pulls out of its  dive  and planes  away, almost a half  a  mile, before  it  hits  the  bottom maybe 12 miles an hour.  KABOOM!",1,male,True
19,BODINE," The  stern implodes as it sinks, from the pressure,  and rips  apart  from the force  of  the  current  as landing like a  big  pile  of junk. Cool huh?",1,male,True
20,BODINE, So  let me get this right.  You  were gonna  kill  yourself by jumping  off the Titanic? That's great!,1,male,True
21,BODINE, All you had to do was wait two days!,1,male,True
22,BODINE," Don't  you  love it?  There's  Smith, he's  standing there with the iceberg warning in his fucking hand... ...  excuse  me... in his  hand,  and he's ordering more speed.",1,male,True
23,BODINE," What, uh... happened next?",1,male,True
24,BODINE, We  never  found  anything  on  Jack. There's no record of him at all.,1,male,True
25,BODINE, Holy shit.,1,male,True
26,BODINE, Rush her.,1,male,True
27,BODINE," Aww!!  That really sucks, lady!",1,male,True
97,BODINE, I'm  in  the  sitting room. bedroom B-54.,1,male,True
98,BODINE, I'm crossing the bedroom.,1,male,True
99,BODINE, forward,1,male,True
28,LOVETT, It still gets me every time.,1,male,True
29,LOVETT," Thanks, Tolya.  Work with me, here.",1,male,True
30,LOVETT, Stay  off the floor.  Don't  stir  it up like you did yesterday.,1,male,True
31,LOVETT," Okay,  I  want  to see  what's  under that wardrobe door.",1,male,True
32,LOVETT," Oh baby baby baby. It's payday, boys.",1,male,True
33,LOVETT," You are, Lewis. You rolling?",1,male,True
34,LOVETT," Well,  here  it  is,  the  moment  of truth.",1,male,True
35,LOVETT, Get that outta my face.,1,male,True
36,LOVETT," You  send out what I tell you when  I tell paychecks, not 60 minutes. up for the uplink.",1,male,True
37,LOVETT, How  it's going?  It's going  like  a first think?!,1,male,True
38,LOVETT," Yes,  hi,  Tracy.  You know,  Titanic is not just A shipwrick, Titanic  is THE shipwreck. of shipwrecks.",1,male,True
39,LOVETT," Nobody  called  the recovery  of  the artifacts from King Tut's tomb  grave robbing. experts here, making sure this  stuff is preserved Look  at  this today...",1,male,True
40,LOVETT," Bobby,  we're launching. submersibles  here,  going water?  Take a message.",1,male,True
41,LOVETT," This is Brock Lovett.  What can I  do for you, Mrs... ?",1,male,True
