character,gender,movie_name
A.J.,male,armageddon
ABERFORTH,male,HP
AGENT COULSON,male,marvel
AIBILEEN,female,the-help-2018
ALAN TURING,male,the-imitation-game
ALDOR,male,TLOTR-2
ALEXIS,female,la-la-land
ALFRED,male,the-dark-knight-2008
ALFRED,male,the-dark-knight-rises-2012
ALL,male,beauty-and-the-beast
AMY,female,little-women
AMY BRANDT,female,la-la-land
ANCHISE,male,call-me-by-your-name
ANDY,female,devil-wears-prada
ANDY,male,the-shawshank-redemption-1994
ANNA,female,notting-hill-1999
ANNELLA,female,call-me-by-your-name
ANNIE,female,little-women
ANTHONY,male,the-godfather-1972
APOLLONIA,female,the-godfather-1972
ARAGORN,male,TLOTR-1
ARAGORN,male,TLOTR-2
ARAGORN,male,TLOTR-3
ARTHUR,male,HP
ARTHUR WEASLEY,male,HP
ARWEN,female,TLOTR-1
ARWEN,female,TLOTR-2
ARWEN,female,TLOTR-3
ASA MELVIN,male,little-women
AUDIENCE MEMBER #1,female,la-la-land
AUDIENCE MEMBER #2,female,la-la-land
AUNT MARCH,female,little-women
AUNT MARGE,female,HP
BANE,male,the-dark-knight-rises-2012
BANNER,male,marvel
BARON HARKONNEN,male,dune
BARTON,male,marvel
BARTY,male,HP
BARZINI,male,the-godfather-1972
BATMAN,male,the-dark-knight-2008
BATMAN,male,the-dark-knight-rises-2012
BEAR,male,armageddon
BELLA,female,notting-hill-1999
BELLATRIX,female,HP
BELLE,female,beauty-and-the-beast
BERNIE,male,notting-hill-1999
BETH,female,little-women
BILBO,male,TLOTR-3
BINGLEY,male,pride-and-prejudice
BLACK RIDER,male,TLOTR-1
BLAKE,male,the-dark-knight-rises-2012
BONASERA,male,the-godfather-1972
BOROMIR,male,TLOTR-1
BOROMIR,male,TLOTR-2
BOSS,female,la-la-land
BOY,male,the-imitation-game
BRETT,male,pulp-fiction-1994
BRODY,male,jaws-1975
BROOKS,male,the-shawshank-redemption-1994
BRUNO TATTAGLIA,male,the-godfather-1972
BUCKY,male,marvel
BUTCH,male,pulp-fiction-1994
BUTTERBUR,male,TLOTR-1
BUTTONMAN,male,the-godfather-1972
CADENZA,male,beauty-and-the-beast
CALO,male,the-godfather-1972
CAPTAIN AMERICA,male,marvel
CARLO,male,la-la-land
CARLO,male,the-godfather-1972
CAROLINE,female,pride-and-prejudice
CASSIUS,male,gladiator
CASTING DIRECTOR,male,la-la-land
CATWOMAN,female,the-dark-knight-rises-2012
CEDRIC,male,HP
CELEBORN,male,TLOTR-1
CELIA,female,the-help-2018
CHANI,female,dune
CHARLES RICHARDS,male,the-imitation-game
CHARLOTTE,female,pride-and-prejudice
CHARLOTTE,female,the-help-2018
CHECHEN,male,the-dark-knight-2008
CHIARA,female,call-me-by-your-name
CHICK,male,armageddon
CHIP,male,beauty-and-the-beast
CHRISTIAN,male,devil-wears-prada
CHRISTINE,female,marvel
CHRISTOPHER,male,the-imitation-game
CICCI,male,the-godfather-1972
CLARK,male,armageddon
CLEMENZA,male,the-godfather-1972
CLOTHILDE,female,beauty-and-the-beast
COLONEL PHILLIPS,male,marvel
COMMANDER DENNISTON,male,the-imitation-game
COMMODUS,male,gladiator
CONGRESSMAN,male,the-dark-knight-rises-2012
CONNIE,female,the-godfather-1972
CORNELIUS FUDGE,male,HP
COULSON,male,marvel
COUNCILMAN,male,marvel
CUISINIÈR,male,beauty-and-the-beast
CUSTOMER,male,la-la-land
CUSTOMER #1,male,la-la-land
D.A.,male,the-shawshank-redemption-1994
DADDY TWOFOOT,male,TLOTR-1
DAGGETT,male,the-dark-knight-rises-2012
DARCY,female,marvel
DARCY,female,pride-and-prejudice
DASHWOOD,male,little-women
DAVID,male,la-la-land
DENETHOR,male,TLOTR-2
DENETHOR,male,TLOTR-3
DENT,male,the-dark-knight-2008
DETECTIVE NOCK,male,the-imitation-game
DIVA,female,beauty-and-the-beast
DOBBY,male,HP
DOCTOR,male,little-women
DOUG,male,devil-wears-prada
DR. ARNIM ZOLA,male,marvel
DR. ERSKINE,male,marvel
DRACO,male,HP
DRUMMER,male,la-la-land
DUDLEY,male,HP
DUMBLEDORE,male,HP
DUNCAN,male,dune
DÉAGOL,male,TLOTR-3
ELENA,female,call-me-by-your-name
ELIO,male,call-me-by-your-name
ELIZABETH,female,the-help-2018
ELLEN,female,jaws-1975
ELPHIAS DOGE,male,HP
ELROND,male,TLOTR-1
ELROND,male,TLOTR-2
ELROND,male,TLOTR-3
EMILY,female,devil-wears-prada
EMPLOYEE,male,la-la-land
ENGEL,male,the-dark-knight-2008
ENZO,male,the-godfather-1972
ESMARELDA,female,pulp-fiction-1994
FABIENNE,female,pulp-fiction-1994
FABRIZIO,male,the-godfather-1972
FANDRAL,male,marvel
FARAMIR,male,TLOTR-2
FARAMIR,male,TLOTR-3
FARMER MAGGOT,male,TLOTR-1
FATHER,male,little-women
FIANCEE,male,la-la-land
FIGWIT,male,TLOTR-3
FLIP,male,armageddon
FLOYD,male,the-shawshank-redemption-1994
FOLEY,female,the-dark-knight-rises-2012
FOX,male,the-dark-knight-2008
FOX,male,the-dark-knight-rises-2012
FRED,male,HP
FRED,male,little-women
FREDA,female,TLOTR-2
FREDO,male,the-godfather-1972
FRIEDRICH,male,little-women
FRIGGA,female,marvel
FRODO,male,TLOTR-1
FRODO,male,TLOTR-2
FRODO,male,TLOTR-3
FURY,male,marvel
GAFFER,male,TLOTR-1
GAIUS,male,gladiator
GALADRIEL,female,TLOTR-1
GALADRIEL,female,TLOTR-2
GALADRIEL,female,TLOTR-3
GAMLING,male,TLOTR-2
GAMLING,male,TLOTR-3
GANDALF,male,TLOTR-1
GANDALF,male,TLOTR-2
GANDALF,male,TLOTR-3
GASTON,male,beauty-and-the-beast
GEORGE,male,HP
GILDEROY LOCKHART,male,HP
GIMLI,male,TLOTR-1
GIMLI,male,TLOTR-2
GIMLI,male,TLOTR-3
GINNY,female,HP
GOLDEN,male,armageddon
GOLLUM,male,TLOTR-1
GOLLUM,male,TLOTR-2
GOLLUM,male,TLOTR-3
GORBAG,male,TLOTR-3
GORDON,male,the-dark-knight-2008
GORDON,male,the-dark-knight-rises-2012
GOTHMOG,male,TLOTR-3
GRACCHUS,male,gladiator
GRACE,female,armageddon
GRANDMASTER,male,marvel
GREG,male,la-la-land
GRIMBOLD,male,TLOTR-3
GRIPHOOK,male,HP
GRISHNÁKH,male,TLOTR-2
GRUMPY,male,the-dark-knight-2008
GURNEY,male,dune
HADLEY,male,the-shawshank-redemption-1994
HAGEN,male,the-godfather-1972
HAGRID,male,HP
HALDIR,male,TLOTR-1
HALDIR,male,TLOTR-2
HALETH,male,TLOTR-2
HANNAH,female,little-women
HARRY,male,HP
HARRY,male,armageddon
HARRY,male,la-la-land
HAWAT,male,dune
HEADMASTER,male,the-imitation-game
HEIMDALL,male,marvel
HELA,female,marvel
HELEN,female,the-imitation-game
